name,poster_link,start_period,end_period
"각자성석, 돌에 새긴 축성의 기록",https://korean.visitseoul.net/comm/getImage?srvcId=POST&parentSn=37540&fileTy=POSTTHUMB&fileNo=2&thumbTy=M,20210413,20210912
한양도성의 어제와 오늘,https://korean.visitseoul.net/comm/getImage?srvcId=POST&parentSn=34075&fileTy=POSTTHUMB&fileNo=1&thumbTy=M,20200519,20201115
"도성의 서쪽 문, 헐값에 팔리다",https://korean.visitseoul.net/comm/getImage?srvcId=POST&parentSn=39901&fileTy=POSTTHUMB&fileNo=1&thumbTy=M,20211109,20210306
"2021 용산공예관 국가무형문화재 선자장 김동식 특별초청전 <부채, 남실바람이어라>",https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1625557086573.jpg,20210713,20210829
《흙으로 피운 꽃》展,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1615772455127.jpg,20210316,20210425
"나무, 천년이 되어",https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1621298195585.jpg,20210508,20210620
"2020 용산공예관 공예특별전 ""전라남도편"" <시작(矢作)>展",https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1588033654515.jpg,20200508,20200614
[2017 시민큐레이터 기획전시] 《우천시엔 창문을 열지마시오》,https://sema.seoul.go.kr/common/imageView?thumbYn=Y&FILE_PATH=%2Fex%2FEXI01%2F2022%2F&FILE_NM=20220107105622_86e42d0525d9474d98bb56bf876e38d2_144aed20712a42e488ea93a2b6d15716,20171007,20171007
2016 플랫폼 아티스트,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1486963787561.jpg,20170210,20170312
숨쉬는 빛 - 김치앤칩스展,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1480642052420.jpg,20161203,20161219
신소장품 2014-2016,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1487809552742.jpg,20170221,20170326
다 빈치 노트의 비밀을 풀다,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1482365600138.jpg,20161211,20170212
프로젝트 제주: 우리,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1637281381323.jpg,20211012,20220109
"물때, 해녀의 시간 Moontides for Jeju Haenyeo",https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1487207464641.jpg,20170215,20170322
2016 AR TOWNS 와랑와랑 모다드렁,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1482108791290.jpg,20161118,20170129
한국 추상미술의 역사,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1467187766666.jpg,20160705,20161029
김달진미술자료박물관,https://korean.visitseoul.net/comm/getImage?srvcId=POST&parentSn=34909&fileTy=POSTTHUMB&fileNo=1&thumbTy=M,20200803,20201024
