,exhibition_name,poster_link,exhibition_description,exhibition_place,start_period,end_period,place
0,뉴호라이즌,https://www.sac.or.kr//design/common/images/asset/noImage300x300.png,"
",한가람미술관,2022-12-15,2023-03-25,예술의전당
1,<XYZ: 공간좌표> 선정 전시,https://www.sac.or.kr//design/common/images/asset/noImage300x300.png,"
",한가람디자인미술관,2022-12-13,2023-02-03,예술의전당
2,디즈니 창립 100주년 특별기념전시 미키마우스 클럽하우스,https://www.sac.or.kr//design/common/images/asset/noImage300x300.png,"
",한가람미술관,2022-12-10,2023-04-09,예술의전당
3,이집트 발견의 땅,https://www.sac.or.kr//design/common/images/asset/noImage300x300.png,"
",서울서예박물관,2022-12-10,2023-03-26,예술의전당
4,한국서가협회초대작가전,https://www.sac.or.kr//design/common/images/asset/noImage300x300.png,"
",서울서예박물관,2022-11-20,2022-11-29,예술의전당
5,제30회 대한민국서예전람회(현대부문),https://www.sac.or.kr//design/common/images/asset/noImage300x300.png,"
",서울서예박물관,2022-11-20,2022-11-29,예술의전당
6,이동협展. 이씨산수16. 서울,https://www.sac.or.kr//upfile/uploadfile/asa/goods/goods/2022/05/a13dc0a12f4387c58396799532f8048d.jpg,"


[전시소개]

.앙리 카르티에 브레송(1908~2004) 그리고 결정적 순간
그를 좋아할 수도 싫어할 수도 있다. 그의 작품에 열광하거나 실망할 수도 있다. 그러나 단 한번이라도 사진을 찍는 것에 관심을 가졌다면 그와 그의 사진작업을 무시하고 넘어갈 순 없다. 그는 프랑스 노르망디 출신의 사진작가 앙리 카르티에 브레송이고, 그는 <결정적 순간>이라는 사진집을 1952년에 출판했다.

<앙리 카르티에 브레송 사진전: 결정적 순간>은 20세기를 대표하는 프랑스 사진가 앙리 카르티에 브레송의 정수가 담긴 사진집 <결정적 순간>의 발행 70주년을 기념하는 전시로, 카르티에 브레송 재단이 소장하고 있는 <결정적 순간>에 수록된 오리지널 프린트, 1952년 프랑스어 및 영어 초판본, 출판 당시 편집자 및 예술가들과 카르티에 브레송이 주고 받은 서신, 이 책과 수록된 사진에 대해 카르티에 브레송 본인이 직접 소개하는 인터뷰 및 영상자료를 비롯하여, 그가 처음으로 구입했고 평생 소장했던 첫 라이카 카메라를 포함하는 컬렉션을 소개한다.
이 전시는 단지 앙리 카르티에 브레송의 사진 작품만을 보는 것이 아니다. 1952년 출간된 이래 사진 역사상 가장 위대한 산이 되어 버린 사진집 <결정적 순간>을 탄생시킨 하나의 세계를 만나는 전시이다. 그를 설득하여 이 책을 만들도록 했던 그리스계 프랑스인 편집자이자 당대 최고의 컬렉터였던 테리아드, <결정적 순간>이라는 제목을 막무가내로 우겨 넣어버린 미국출신의 사진작가이자 출판사 대표인 딕 사인먼, 거동이 불편한 와중에도 그의 책에 커버아트와 타이틀을 손수 그려 넣어준 앙리 마티스와 주고받은 편지와 일화 등이 작품들 사이로 종횡무진 펼쳐진다.
카르티에 브레송이 직접 설명하는 자신의 작업과 이 책의 관계에 대한 슬라이드 쇼 렉쳐 영상(ICP, 1973)은 이 책에 관한 수많은 오해와 찬사로부터 보다 또렸하게 본질을 볼 수 있도록 우리를 안내 할 것이다. 그의 눈이 되어 주었던 라이카 카메라와 그가 설립하여 사진작가의 공동체로 널리 알려진 매그넘포토스의 프레스카드를 만나는 것은 그의 손때 묻은 조각을 만나는 소소한 기회이기도 하다.
그러나 무엇보다도 눈여겨 볼 것은 이 책에 담긴 군더더기 없고, 과장 없이 자신의 사진에 대한 담백한 시선을 담은 카르티에 브레송의 글이다. 시간을 들여 읽게 된다면, 스마트폰에 끊임없이 채워지는 사진을 찍고 싶은 우리의 욕망과 위대한 사진작가의 욕망 사이에 놓인 100년의 시간이 사라지는 것을 경험할 수 있을 것이다. 우리는 왜 사진을 찍을까? 어떤 사진이 좋은 사진일까?에 대한 크고 작은 질문을 가진 사람, 아니 모든 사진을 찍는 사람들에게 바치는 전시다.

이 책은 모든 사진작가들의 바이블이다.
여느 사진집들과 달리 작가 본인의 사진이 아니라 당대 최고의 화가였던 앙리 마티스가 직접 쓰고 그려준 제목과 커버로 장식된 카르티에 브레송의 사진집 <결정적 순간>은 로버트 카파가 “사진작가들의 바이블”이라 일컬을 만큼 당대뿐 아니라 후대의 사진작가들에게까지 큰 파급력을 불러온 책이자 카르티에 브레송의 사진 철학이 가장 잘 드러난 대표적인 저서이다. 이 책은 1932년부터 1952년까지 미국, 인도, 중국, 프랑스, 스페인 등지를 종횡무진하며 생생한 현장에서 발굴해 낸 경이로운 삶의 순간들을 비롯하여, 간디의 장례식, 영국 조지 6세의 대관식, 독일 데사우 나치 강제수용소의 모습과 같은 역사의 변곡점이라 불릴 만한 순간들이 카르티에 브레송의 눈을 통해 생생히 담겨있다.

이 세상에 결정적 순간이 아닌 것은 아무것도 없다.
본래 <달아나는 이미지들>이라는 제목으로 출간된 프랑스어판과 동시에 발행된 영문판의 제목 < 결정적 순간(The Decisive Moment) >은 책의 서문에 인용된 “이 세상에 결정적 순간이 아닌 것은 아무것도 없다”는 레츠 추기경의 회고록 문구에서 영감을 받았다. 출간과 동시에 열렬한 환호속에 성공한 이 책의 제목 <결정적 순간>은 그 자체로 사진이 발명된 이래 가장 회자되는 표현이자 하나의 상징이며, 동시에 모든 사진작가들에게 굴레가 되기도 했다. 하지만 인간 그리고 짧고, 덧없고, 위협받는 삶의 찰나가 오롯이 담겨 있는 이 책속에 수록된 작품들은 시대의 변화와 세대의 차이를 넘어서는 사진예술의 정수이다.


[작가소개]

.앙리 카르티에 브레송, Henri Cartier-Bresson(1908~2004, France)
“사진을 찍는다는 것은 머리와 눈, 그리고 가슴을 일직선 위에 놓는 것이다.” - 앙리 카르티에 브레송
앙리 카르티에 브레송은 작은 필름 카메라를 들고 거리에서 찍은 사진을 예술의 반열에 올린 포토저널리즘의 선구자이다. 어린 시절 그림을 배우던 카르티에 브레송은 1930년대 초, 사진작가 외젠 앗제와 만 레이의 사진을 접한 것을 계기로 사진의 길에 들어서게 되었다. 카메라는 그에게 눈의 연장이었으며, 그의 작업방식은 직관과 본능에 의거하여 진정성을 포착하는 것이었다. ""사진보다 삶에 더 관심이 많다""고 말했던 그는 일체의 인위성에 반대하며, 연출이나 플래시, 사진을 크롭하는 행위 등을 배제하는 대신, 대상이 형태적으로 완벽히 정돈되면서도 본질을 드러내는 순간에만 셔터를 눌렀다. 따라서 미학적 완전성과 일상적 휴머니즘을 동시에 담아낸 그의 작품 세계는 '결정적 순간'이라는 한 단어로 압축될 수 있다. 우리는 그의 작품 속에서 삶과 세상을 응시하는 예리하지만 따스한 시선을 발견하게 된다.
 
 
[대표작품]

 ""Chez Gégène"", Joinville-le-Pont, France, 1938 © Henri Cartier-Bresson / Magnum Photos
Barrio Chino, Barcelona, Spain, 1933 © Henri Cartier-Bresson / Magnum Photos
Behind the Gare St Lazare, Place de l'Europe, Paris, France, 1932 © Henri Cartier-Bresson / Magnum Photos
Dessau, Germany, May-June 1945 © Henri Cartier-Bresson / Magnum Photos
Seville, Spain, 1933 © Henri Cartier-Bresson / Magnum Photos
Sunday on the banks of the Seine, France, 1938 © Henri Cartier-Bresson / Magnum Photos
The Forbidden City, Beijing, China, December 1948 © Henri Cartier-Bresson / Magnum Photos
                          ",한가람디자인미술관,2022-11-06,2022-11-18,예술의전당
7,"2022, 아시안 캘리그라피 축제 -천상문자전Ⅱ-",https://www.sac.or.kr//design/common/images/asset/noImage300x300.png,"
",서울서예박물관,2022-10-28,2022-11-05,예술의전당
8,제23회 대한민국문인화대전,https://www.sac.or.kr//design/common/images/asset/noImage300x300.png,"
",서울서예박물관,2022-10-16,2022-10-25,예술의전당
9,오픈스튜디오 아트페스타 <그림의 탄생>전,https://www.sac.or.kr//design/common/images/asset/noImage300x300.png,"
",한가람미술관,2022-10-01,2022-10-08,예술의전당
10,한중30인서예가전,https://www.sac.or.kr//design/common/images/asset/noImage300x300.png,"
",서울서예박물관,2022-10-01,2022-10-13,예술의전당
11,3인3색전,https://www.sac.or.kr//design/common/images/asset/noImage300x300.png,"
",한가람미술관,2022-09-18,2022-09-27,예술의전당
12,현대한국화협회41주년대작전,https://www.sac.or.kr//upfile/uploadfile/asa/goods/goods/2022/09/e14ecd22436638e26c0450d6ae8fd98d.jpg,"



대한민국국제포토페스티벌은 예술의전당에서 해마다 펼쳐지는 사진 및 시각예술축제이다. 2013년 제1회를 시작으로 2022년 올해로 8회를 맞이한다. 올해는 200여명의 작가의 작품 1000여점이 출품된다. 4차 산업혁명으로 대변되는 인공지능의 시대를 맞아 사진의 방향성과 변화상을 조명해본다.

​
[행사내용]

제8회 대한민국국제포토페스티벌
Korea International Photo Festival 2022

<메타 리얼리티 : 사진 그 너머>
MATA REALITY: BEYOND THE REALITY

기간 : 2022.9.9.(일)-15(월)
*9.9(금) 12:00 오픈 /  9.12(월) 휴관 / 9.15(목) 17시까지
*관람시간(9.10~14) : 오전 10:00 - 오후 7시

장소 : 예술의전당 한가람미술관 제3,4전시실

주전시 (Main Exhibition)
주제 : 메타 리얼리티 : 현실 그 너머

지아코모 코스타(Giacomo Costa)
룬 구네리우센 (Rune Guneriussen)
임안나(Anna Lim)
안드레아스 마익스너(Andreas Meichsner)
빅토리아 소로친스키 (Viktoria Sorochinski)


특별전(Special Exhibition)
주제 : 어제의 창(窓), 내일의 문(門)

#1 미디어 사진의 미래
BAKI : Language of Body

#2 학교의 가치
- 셰하이룽(Xie HaiLong) : 희망공정(希望工程, Longing and Fulfilment)
- 강제훈 : 들꽃 피는 분교


​Viewfinder of KIPF

#1 한국성(性) 모색
양재문- 농악 나르샤(NongAk Narsha)

#2 시대의 초상
전재홍 – 붉은섬의 붉은 눈물
전제훈 - 마지막 광부들

#3 신체의 변주
변성진 - BORDER : hide & seek
김상덕 - 태양의 파편

#4 틀 밖의 언어
김정언 - Tickling of touch
한희준 – Plastic – Be born again

#5 사라지고 남는 것
이종건 – 철수야 놀자
우기곤 – 삼거리 이발관
이성호 – Camp Walker H-805 Heliport


형형색색
Fabian Sommer 외 180명


코리아포토(KOREA PHOTO)
김수영 등 17명


올댓포토북(All that photobook)
-한중수교 30주년 기념 중국작가 30인의 사진집 소개
 
                          ",한가람미술관,2022-09-17,2022-09-27,예술의전당
