,_c0,exhibition_name,poster_link,exhibition_description,exhibition_place,start_period,end_period,place
0,55,제 5회 종근당 예술지상,https://www.sejongpac.or.kr/cmmn/file/imageSrc.do?fileStreCours=1a889e8777af7e578d96596fbd2e16e9bb6d9ec4bb1f6894357ee3bde7a73807&streFileNm=4b6cb918d395463f74bbf24377a2bd6bc5632144e692c09ac9214915f513b19a,본 전시는 년 종근당 예술지상에 선정된 김수연 박광수 위영일의 초대전이다 종근당 예술지상 은 국내의 주요 미술지원 프로그램에 참여한 바 있는 작가들에게 창작지원을 통해 작가로서 더욱 왕성한 활동을 위한 계기를 마련하는 취지로 기획되었다 매년 수많은 신진작가들이 배출되고 있지만 이들을 지속적으로 지원하기 위한 체계적인 프로그램은 미흡한 상황이고 해마다 유망작가 중에 미술계의 중심에 진입하는 경우도 드문 것이 현실이다 이 프로그램은 가능성을 인정받은 작가들이 본격적으로 성장할 수 있도록 돕는 차 지원 프로그램이며 한 단계 더 도약할 수 있는 플랫폼을 제공한다 제 회 종근당 예술지상 김수연 박광수 위영일 세종미술관 관 서울특별시 종로구 세종대로,세종미술관1관,2018-11-01,2018-11-01,세종문화회관
1,231,어린이 체험전 ‘얼랑뚱땅 색깔공장’,https://www.sejongpac.or.kr/cmmn/file/imageSrc.do?fileStreCours=1a889e8777af7e578d96596fbd2e16e9bb6d9ec4bb1f6894357ee3bde7a73807&streFileNm=4c32187ab0adb51cee645a4a0bc0bcbeb28116332331f452cbab0a66c25f7e24,꿈의숲아트센터 홈페이지 바로가기 얼렁뚱땅 색깔공장 체험전 우리아이 감성을 높여주는 오감만족 색깔 여행 타고난 개성과 숨겨진 감성을 가진 우리 아이들에게 색을 온몸으로 느끼고 표현하게 해주세요 년 월 일 토 월 일 목 입장마감 오후 시 매주 월요일 휴관 북서울 꿈의 숲 상상톡톡미술관 주최 제작 어린이상상연구소 하이랑아빠랑 문의전화 티켓가격 어린이 원 성인 원 입장시간 평일 시 시 시 오전은 단체에 한함 주말 및 공휴일 시 시 예매 상상플레이 위메프,꿈의숲아트센터,2016-04-09,2016-04-09,꿈의숲아트센터
2,415,2019 찾아가는 독도 전시회 - 동해·독도지도전,https://www.sejongpac.or.kr/cmmn/file/imageSrc.do?fileStreCours=1a889e8777af7e578d96596fbd2e16e9bb6d9ec4bb1f6894357ee3bde7a73807&streFileNm=3ce8204883369bb94c33f668dff558c585c8ed646bf30fc7e70be0a5c4ef6432,사업 취지 독도에 대한 우리정부의 영토주권 수호 의지 천명 및 우리 국민의 독도주권 수호 의식 제고 내외 국민대상 공감대 확산 주요 내용 전시회 주요 콘텐츠 전시 언어 한글 기록과 지도 속 동해 독도 동해 지명의 역사성과 애국가 국내외 지도 종 원본 종 우산도는 독도 입니다 국내 사료 및 국내외 지도 종 독도 모형 전시 독도 관련 애니메이션 및 다큐멘터리 영상 콘텐츠 월 단위 교체 예정,광화랑,2019-07-05,2019-07-05,세종문화회관
3,95,色에 물들다- 춘추회 제44회전,https://www.sejongpac.or.kr/cmmn/file/imageSrc.do?fileStreCours=1a889e8777af7e578d96596fbd2e16e9bb6d9ec4bb1f6894357ee3bde7a73807&streFileNm=6c657f103449dba717c0f84eb7d5c7ac13e27cc0df58d0800d2b142a2917067e,춘추회 창립 취지와 의지 년 창립된 한국채색화 모임인 춘추회 는 조복순 유지원 이숙자 이승은 네명의 창작적 의기투합으로 이루어 졌다 창립당시 활성화되지 못하고 침체되었던 한국화 화단의 채색화 부활을 위하고 삼국시대 벽화와 고려 불화 그리고 조선 민화와 화조화 등의 우수한 채색화의 명맥이 오류로 인하여 단절 경시되었던 채색화의 전통을 바로 세우고 시대적 정서를 수용한 현대적 미의식으로 재해석하기 위한 취지로 출발하였다 그러나 세계미술동향은 다양한 방법과 조형논리로 한국화 화단에 들어와 한국적 미감을 희석시키며 작가들로 하여금 전통에 대한 동경과 확립되지 못한 현대적 미의식 사이에서 정신적 방황과 갈등을 요구하고 있다 이런 복잡 다원화된 시대에 춘추회는 채색 이라는 하나의 방법론으로 년간 학연 지연의 이해관계를 타파하고 전국 각 대학출신의 다양한 작가들로 구성이 확대되어 현재회원이 명으로 꾸준히 성장하고 있다 이렇게 다양한 다수의 작가적 시각은 춘추회 라는 결집된 공동의지로 전통을 수용한 현대적 미의식과 국제적 미의식의 공존을 추구하고 있다 이것은 우리의 전통과 미감을 우리의 방식으로 현시적 미의식에 맞춰 마름질하는 것이며 작품표출의 다양성과 실험성 그리고 국제적 조형논리에 대한 편견없는 예술적 이해와 비판으로 미래에 서고자 하는 춘추인의 의지임과 동시에 새로움에 대한 회원 개인의 예술적 자유의지이다 춘추회 홈페이지에서 년도별 작가별 출품작을 볼 수 있습니다 마흔 네번째 오색으로 물들다 수 화 세종문화회관 관,세종미술관2관,2017-10-25,2017-10-25,세종문화회관
4,176,나만의 비누 만들기,https://www.sejongpac.or.kr/cmmn/file/imageSrc.do?fileStreCours=1a889e8777af7e578d96596fbd2e16e9bb6d9ec4bb1f6894357ee3bde7a73807&streFileNm=20550c307227a7bd31fab96e27e3cf15d332546322f68d3b6101f1caf85f787e,나만의 비누 만들기 체험 매주 월요일 휴관 총 회 충무공이야기 내 교육실 참여대상 초등학생 참여방법 세종홈페이지를 통한 사전티켓 예매 또는 현장 구매 참가인원 회당 명 참가비 원 내용 나만의 뱃지 작품을 비누 속에 넣어서 세상에 오직 개만 존재하는 비누 만들기 체험 문의,세종이야기전시장,2019-07-23,2019-07-23,세종문화회관
5,185,2021 한글일일달력전,https://www.sejongpac.or.kr/cmmn/file/imageSrc.do?fileStreCours=faec0c25744c22e99776405c0fa72802e8b5d109fbf9632bdcf4366f3180b8d1&streFileNm=dbc1d0a069e688612db451059a7cd57252e2f1440befb29c34155b70a7ef77fe,한글일일달력전 계절의 소리와 모습을 담은 한글일일달력전 대한민국의 정체성 및 상징성으로 대두되는 과학적 소리언어 한글 전세계 문자 중 세상의 모든 소리를 표현할 수 있는 유일한 문자 한글 한글 의성어 한글 의태어 의 계절소리와 모습 예 산들산들 을 하루하루 한글일일달력에 풍성하게 담아내고 감성글씨라 불리우는 새로운 현대적 캘리그라피디자인 장르의 표현을 통해 예술적 가치로 보여주고자 기획된 전시이다 한글일일달력 전시는 관람객들에게 계절의 소리와 모습을 눈으로 느끼게 하며 과학적 소리언어 문자인 한글 이 의미적 머릿속에 갇혀있는 것이 아니라 우리네 가슴속에 더욱 아름답게 기억될 수 있는 예술적 가치로 보여주고자 하는 바램과 한글의 우수성을 캘리그라피디자인이 소리를 낼 것이다 한글을 사랑하는 한글학회 세종대왕기념사업회 등 덕망 높은 선생님들과 캘리그라피를 사랑하는 작가들을 포함한 명의 참여로 년을 마무리하고 년을 맞이하는 뜻 깊은 전시가 되었으면 한다 한글을 사랑하는 명의 사람들,세종이야기전시장,2020-12-01,2020-12-01,세종문화회관
6,409,공동 힐링 구역,https://www.sejongpac.or.kr/cmmn/file/imageSrc.do?fileStreCours=1a889e8777af7e578d96596fbd2e16e9bb6d9ec4bb1f6894357ee3bde7a73807&streFileNm=c9e973f152b1f00ec7a14669808129ce85c8ed646bf30fc7e70be0a5c4ef6432,슬기로운 생활예술 창작벽화가 황성보 주위에서 흔하게 구할 수 있는 재료를 가지고 만드는 창작 벽화 작가의 유쾌한 취미생활 손수 만드는 즐거움과 생활에 유용하게 쓸 수 있는 다양한 소품을 통해 물건에 대한 가치와 의미를 전합니다 전시 내용 작가 소품 여점 발산 벽화 점 꼬마이젤 등 섬유공예 하정희 평면의 펠트지에 생명을 불어 넣듯 입체적으로 재탄생 된 작품들은어린 시절 누구나 한 번쯤 애니메이션으로 접해 본 친숙한 캐릭터 로봇 들이다 로봇 하면 떠오르는 딱딱하고 차가운 금속 혹은 플라스틱의 느낌에서 벗어나부드럽고 포근한 펠트 원단을 소재로 손바느질 작업을 하였다 바느질과 뜨개질로 작업한 캐릭터 로봇 명화 등을 통해같은 시대를 살아가고 있는 이들이 공통으로 가진 기억으로 추억과 공감을 나누고자 한다 창작벽화가 황성보 개인전 회 년 개인전 광명시민회관 미술관 년 년 개인전 세종문화회관 한글갤러리 소방서 특별 기획전 회 서울종로소방서 인천서부소방서 섬유공예가 하정희 디웨이 콘테스트 위 행복한 그녀들의 바느질 크라운해태 인형공모전 입선 크라운해태 인형공모전 전시 크라운 해태 본사 쿠오리아 갤러리 느림의 시선 광명시민회관 문화역서울 공예페스티벌 온 기 키덜트 하비 엑스포 코엑스 대전선사박물관 특별전 한국만화영화 연대기 수원 갤러리 구로 갤러리 프라자 분당점 제 회 부천국제 애니메이션 페스티벌 한국만화박물관 언리미티드 서울국제핸드메이드페어 코엑스 키덜트 하비 엑스포 코엑스 세종문화회관 광화랑 기억의 조각들 꿈꾸는 건담 판교 현대백화점 국립광주과학관주최 콘테스트 입선 로봇 특별전 국립광주과학관 키덜트 하비 엑스포 코엑스 저서 벨라디아의 펠트 케이크 세종문화회관 광화랑 시대공감 하정희 개인전 공동힐링구역,광화랑,2019-05-15,2019-05-15,세종문화회관
7,299,펜으로 떠나는 동화 여행전,https://www.sejongpac.or.kr/cmmn/file/imageSrc.do?fileStreCours=1a889e8777af7e578d96596fbd2e16e9bb6d9ec4bb1f6894357ee3bde7a73807&streFileNm=8b9da83e324f592fe8e1bd791bc2424fd332546322f68d3b6101f1caf85f787e,돋움 펜을 이용한 일러스트로 세밀함과 작가만의 감각을 살려 동화 거인의 정원 을 재미있게 표현하고자 한다 디지털 시대 컴 작업이 주류이지만 아날로그적인 손맛을 펜으로 살리고 작가의 개성을 살린 전시 작품을 돋움 보여 주고자합니다 돋움,광화랑,2017-03-15,2017-03-15,세종문화회관
8,261,(사)한국카툰협회 정기카툰전 `공생(共生)`,https://www.sejongpac.or.kr/cmmn/file/imageSrc.do?fileStreCours=1a889e8777af7e578d96596fbd2e16e9bb6d9ec4bb1f6894357ee3bde7a73807&streFileNm=8862dfabfae3525b1a6626cd7571413c13e27cc0df58d0800d2b142a2917067e,맑은 고딕 맑은 고딕 우리는 전쟁을 치르며 살아간다 맑은 고딕 맑은 고딕 맑은 고딕 더 나은 환경을 위해 더 편리함을 위해 더 많은 몫을 위해 언제나 전쟁을 치른다 맑은 고딕 맑은 고딕 맑은 고딕 서로에 대해 반목하고 시기하며 더 많은 것을 얻기 위해 빼앗고 빼앗기지 않기 위해 적을 만든다 맑은 고딕 맑은 고딕 맑은 고딕 맑은 고딕 하지만 맑은 고딕 맑은 고딕 맑은 고딕 내 것을 지키기 위해 몸부림칠수록 맑은 고딕 맑은 고딕 맑은 고딕 더 많은 것을 얻기 위해 파괴할수록 맑은 고딕 맑은 고딕 맑은 고딕 더 많은 것을 잃게 됨을 우리는 잊지 말아야 한다 맑은 고딕 맑은 고딕 맑은 고딕 인간의 터전을 넓히기 위한 파괴가 동물들의 터전을 빼앗아 결국 환경의 부메랑으로 되돌아온다는 것을 맑은 고딕 맑은 고딕 맑은 고딕 인간과 인간의 전쟁이 얼마나 많은 희생을 불러왔는지를 맑은 고딕 맑은 고딕 맑은 고딕 민족 간 종교 간의 분쟁이 더 많은 이기와 복수심으로 수많은 희생이 반복됨을 우리는 잘 알고 있기 때문이다 맑은 고딕 맑은 고딕 맑은 고딕 맑은 고딕 그래서 맑은 고딕 맑은 고딕 맑은 고딕 우리는 꿈꾼다 맑은 고딕 맑은 고딕 맑은 고딕 인간과 인간의 희망찬 공생 맑은 고딕 맑은 고딕 맑은 고딕 인간과 동물의 행복한 공생 맑은 고딕 맑은 고딕 맑은 고딕 그리고 남과 북의 평화로운 공생 맑은 고딕 맑은 고딕 맑은 고딕 민족과 민족 간의 번영된 공생 맑은 고딕 맑은 고딕 맑은 고딕 더 나아가 전 지구 모든 것의 공생을 위해 이 카툰을 바친다 맑은 고딕 맑은 고딕 맑은 고딕 맑은 고딕 유머와 풍자가 담긴 한 컷 카툰으로 소중하고 진정한 공생 의미를 되새기는 기회가 되길 바랍니다,광화랑,2016-06-22,2016-06-22,세종문화회관
9,149,제7회 송강작품유물특별전,https://www.sejongpac.or.kr/cmmn/file/imageSrc.do?fileStreCours=781044a3701ef5bcc58321ebc26f8e08bb6d9ec4bb1f6894357ee3bde7a73807&streFileNm=9b3b3bd9bf840b3494278093448cfefcc5632144e692c09ac9214915f513b19a,제 회 송강작품유물특별전 기간 월 일 월요일 휴관 시간 오전 입장마감 개회식 수 오후 우리 한글을 가장 아름답고 주옥같이 빛낸 송강 정철 시성의 작품을 현대어로 번역하고 송강문집의 영어 러시아어 한자어 번역본과 서화로 탄생한 작품 및 유물 등을 함께 전시함으로서 국내외 관람객들과 청소년 학생들에게 한글문화의 우수성과 자긍심을 심어주어 노벨상 수상자를 배출하는 청정문화강국을 만드는데 기여함,세종이야기전시장,2017-05-23,2017-05-23,세종문화회관
