exhibition_id,name,poster_link,start_period,end_period
20160101000003,이집트 발견의 땅,https://www.sac.or.kr//design/common/images/asset/noImage300x300.png,2022-12-10,2023-03-26
20160101000004,제30회 대한민국서예전람회(현대부문),https://www.sac.or.kr//design/common/images/asset/noImage300x300.png,2022-11-20,2022-11-29
20160101000005,한국서가협회초대작가전,https://www.sac.or.kr//design/common/images/asset/noImage300x300.png,2022-11-20,2022-11-29
20160101000006,이동협展. 이씨산수16. 서울,https://www.sac.or.kr//upfile/uploadfile/asa/goods/goods/2022/05/a13dc0a12f4387c58396799532f8048d.jpg,2022-11-06,2022-11-18
20160101000007,"2022, 아시안 캘리그라피 축제 -천상문자전Ⅱ-",https://www.sac.or.kr//design/common/images/asset/noImage300x300.png,2022-10-28,2022-11-05
20160101000008,제23회 대한민국문인화대전,https://www.sac.or.kr//design/common/images/asset/noImage300x300.png,2022-10-16,2022-10-25
20160101000009,오픈스튜디오 아트페스타 <그림의 탄생>전,https://www.sac.or.kr//design/common/images/asset/noImage300x300.png,2022-10-01,2022-10-08
20160101000010,한중30인서예가전,https://www.sac.or.kr//design/common/images/asset/noImage300x300.png,2022-10-01,2022-10-13
20160101000011,3인3색전,https://www.sac.or.kr//design/common/images/asset/noImage300x300.png,2022-09-18,2022-09-27
20160101000012,현대한국화협회41주년대작전,https://www.sac.or.kr//upfile/uploadfile/asa/goods/goods/2022/09/e14ecd22436638e26c0450d6ae8fd98d.jpg,2022-09-17,2022-09-27
20160101000013,이진호 나전칠기전,https://www.sac.or.kr//upfile/uploadfile/asa/goods/goods/2022/04/d967aa0505b7ea42cfe8239d7fbfc1ad.jpg,2022-09-16,2022-09-24
20160101000014,"홀 어스 트럭 스토어 2022: 소품, 다시 쓰는 물건",https://www.sac.or.kr//upfile/uploadfile/asa/goods/goods/2022/08/f8b4d7480818bdca3705d2bd5a77ac4d.jpg,2022-09-16,2022-10-02
20160101000015,제8회 대한민국국제포토페스티벌,https://www.sac.or.kr//upfile/uploadfile/asa/goods/goods/2022/08/ef6858742d2fd584c0e4331437dc4b03.jpg,2022-09-09,2022-09-15
20160101000018,조정숙 화백 유작전,https://www.sac.or.kr//upfile/uploadfile/asa/goods/goods/2022/03/744f0531d6b5f0fe15cbade677e5fb8c.jpg,2022-09-04,2022-09-14
20160101000019,조操:명하다 - 내일의 바다 : 우리가 외면한 오늘,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1662079098276.png,2022-09-03,2022-09-04
20160101000021,제21회 한국국제아트페어,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1661300563182.png,2022-09-02,2022-09-06
20160101000022,스타트 아트페어 서울 2022,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1661300534267.png,2022-09-01,2022-09-06
20160101000025,[신진미술인 전시지원 프로그램] 안진균 개인전 《영원한 휴가》,https://sema.seoul.go.kr/common/imageView?thumbYn=Y&FILE_PATH=%2Fex%2FEXI01%2F2022%2F&FILE_NM=20220823091532_b855575d239a4f46beac987f20ddfc35_cbe7bd4afd164080aa32d4a9adf9c247,2022-08-31,2022-08-31
