title,link,author,pubDate,description,isbn,priceSales,priceStandard,mallType,cover,categoryId,categoryName,publisher,customerReviewRank,bestRank
"위로의 미술관 - 지친 하루의 끝, 오직 나만을 위해 열려 있는",http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=300355187&partner=openAPI&start=api,진병관 (지은이),2022-08-31,베스트셀러 &lt;기묘한 미술관&gt;의 저자이자 프랑스 공인 문화해설사 진병관은 신작 &lt;위로의 미술관&gt;을 통해 모든 좌절을 경험했기에 오히려 모두를 위로할 수 있었던 25명의 화가와 그들의 작품을 소개한다.,K502839261,16920,18800,BOOK,https://image.aladin.co.kr/product/30035/51/coversum/k502839261_1.jpg,50978,국내도서>예술/대중문화>미술>미술 이야기,빅피시,10,1
기묘한 미술관 - 아름답고 서늘한 명화 속 미스터리,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=279202252&partner=openAPI&start=api,진병관 (지은이),2021-09-08,프랑스 공인 문화해설사 진병관이 누구나 안다고 생각하지만 누구도 제대로 알지 못하는 명화 속 미스터리를 소설보다 흥미진진하게 풀어낸 이야기들이 담겨 있다. 익숙하게 바라보았던 그림들이 다시 낯설고 새롭게 느껴지는 신비한 경험을 하게 될 것이다.,K122734505,16020,17800,BOOK,https://image.aladin.co.kr/product/27920/22/coversum/k122734505_2.jpg,50978,국내도서>예술/대중문화>미술>미술 이야기,빅피시,9,2
"인생, 예술",http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=298252849&partner=openAPI&start=api,윤혜정 (지은이),2022-07-20,"국제갤러리의 디렉터로 문화 예술의 최전선에서 활동하는 저자 윤혜정이 쓴 예술 에세이다. 28명의 현대 예술가와 그 대표작들에 대한 지은이의 사적인 경험이 “감정, 관계, 일, 여성, 일상”이라는 다섯 가지 키워드를 중심으로 펼쳐진다.",8932474745,16200,18000,BOOK,https://image.aladin.co.kr/product/29825/28/coversum/8932474745_1.jpg,50978,국내도서>예술/대중문화>미술>미술 이야기,을유문화사,10,3
기울어진 미술관 - 이유리의 그림 속 권력 이야기,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=300671473&partner=openAPI&start=api,이유리 (지은이),2022-08-29,"&lt;화가의 마지막 그림&gt;, &lt;세상을 바꾼 예술 작품들&gt; 등 그림을 매개로 사회의 모순을 드러내고 독자들과 꾸준히 소통해왔던 이유리 작가의 &lt;기울어진 미술관&gt;이 출간됐다. 예술작품 속 여러 권력관계와 그에 숨겨진 ‘마이너들’의 이야기를 들려준다.",K972839661,15120,16800,BOOK,https://image.aladin.co.kr/product/30067/14/coversum/k972839661_2.jpg,51378,국내도서>인문학>교양 인문학,한겨레출판,10,4
방구석 미술관 - 가볍고 편하게 시작하는 유쾌한 교양 미술,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=238280325&partner=openAPI&start=api,조원재 (지은이),2018-08-03,"예술 분야의 베스트셀러로 꾸준히 사랑받아 온 &lt;방구석 미술관&gt;이 2년 만에 10만 부 판매 기록을 돌파했다. 이를 기념하기 위해 특별판으로 출간한 이번 책은 ‘프라이빗 미술관 에디션’으로, 조원재 작가의 메시지와 친필 사인도 함께 수록했다.",K042732197,15120,16800,BOOK,https://image.aladin.co.kr/product/23828/3/coversum/s912837569_1.jpg,50978,국내도서>예술/대중문화>미술>미술 이야기,블랙피쉬,9,5
여름의 피부 - 나의 푸른 그림에 대하여,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=298700638&partner=openAPI&start=api,이현아 (지은이),2022-07-27,"이현아 작가의 첫 책. 유년과 여름, 우울과 고독에 관한 가장 내밀한 이야기를 푸른 그림을 통해 이야기한다. 저자는 에디터로 일하며 써 내려간 그림일기에서 자신이 모으는 그림들이 유난히 ‘푸른 기운’을 머금고 있는 것을 발견하곤 이 책을 썼다.",K072838621,15300,17000,BOOK,https://image.aladin.co.kr/product/29870/6/coversum/k072838621_1.jpg,50978,국내도서>예술/대중문화>미술>미술 이야기,푸른숲,9,6
그림들 (여름 한정 에디션) - 모마 미술관 도슨트북,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=296254779&partner=openAPI&start=api,SUN 도슨트 (지은이),2022-03-25,미국 현지 그림 해설가가 모마 미술관의 대표 작품들을 직접 엄선해 소개한 도슨트북이다. 이번 &lt;그림들&gt; 여름 한정 에디션은 마치 뉴욕 모마 미술관의 뒤뜰에 있을 법한 상상 속의 수영장에서 보내는 나른한 하루를 모티브로 했다.,K752838376,17820,19800,BOOK,https://image.aladin.co.kr/product/29625/47/coversum/k752838376_1.jpg,50988,국내도서>예술/대중문화>미술>화집,나무의마음,10,7
처음 만나는 아트 컬렉팅 - 내 삶에 예술을 들이는 법,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=300414559&partner=openAPI&start=api,이소영 (지은이),2022-09-01,"그림 감상부터 소장까지 가장 쉽고 알찬 아트 컬렉팅 안내서. 15년 동안 200여 점을 소장하고, 래리스리스트에 ‘영향력 있는 한국인 컬렉터’로 선정된 이소영 작가가 자신의 오랜 경험을 바탕으로 아트 컬렉팅에 대한 모든 것을 소개하는 책이다.",K772839363,19800,22000,BOOK,https://image.aladin.co.kr/product/30041/45/coversum/k772839363_1.jpg,50978,국내도서>예술/대중문화>미술>미술 이야기,카시오페아,10,8
터보832의 아트 컬렉팅 비밀노트 - 컬렉터가 알려주는 미술 시장 생존 법칙,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=299834124&partner=openAPI&start=api,터보832 (지은이),2022-08-16,초보 컬렉터들이 미술 시장에서 허비하는 시간을 줄이고 미술품을 향유해나갈 방법을 찾기를 바라는 마음에서 탄생했다. 미술 시장을 미리 경험한 선배 컬렉터의 노하우로 아트 컬렉팅의 판단력을 키워보자.,896053627X,18000,20000,BOOK,https://image.aladin.co.kr/product/29983/41/coversum/896053627x_1.jpg,50978,국내도서>예술/대중문화>미술>미술 이야기,마로니에북스,10,9
"알고 보면 반할 민화 - 생활의 단면 유쾌한 미학, 오천 년 K-민화의 모든 것",http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=293528766&partner=openAPI&start=api,윤열수 (지은이),2022-06-15,"민화계의 거목 윤열수가 소개하는 오천 년 K-민화의 모든 것이다. ‘민화란 무엇인가’부터 시작해 민화의 역사, 종류, 구성과 색채, 그리고 그림 각각에 담긴 의미까지, 흥미진진한 민화 이야기를 140여 컷의 생생한 도판과 함께 만날 수 있다.",K442837114,19800,22000,BOOK,https://image.aladin.co.kr/product/29352/87/coversum/k442837114_1.jpg,50984,국내도서>예술/대중문화>미술>한국미술,태학사,10,10
방구석 미술관 2 : 한국 - 가볍게 시작해 볼수록 빠져드는 한국 현대미술,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=255669158&partner=openAPI&start=api,조원재 (지은이),2020-11-18,"2018년 출간 이후 지금까지 예술 분야 1위를 굳건히 지키고 있는 명실상부 최고의 미술 교양서 &lt;방구석 미술관&gt;. 높게만 느껴지는 미술 문지방을 가볍게 넘으며 새로운 미술 교양의 지평을 연 이 책이 2탄, ‘한국’ 편으로 더 강력해져서 돌아왔다.",K132732197,16650,18500,BOOK,https://image.aladin.co.kr/product/25566/91/coversum/k132732197_3.jpg,50978,국내도서>예술/대중문화>미술>미술 이야기,블랙피쉬,9,11
옛 그림으로 본 서울 - 서울을 그린 거의 모든 그림,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=231789488&partner=openAPI&start=api,최열 (지은이),2020-04-05,"수록 작품 125점, 수록 화가 41명, 원고지 약 2천 매, 집필 기간 20년, 서울을 그린 현전하는 거의 모든 옛 그림을 집대성한 최초의 저작이다. 이 숫자만으로도 이미 서울을 그린 현전하는 그림의 총 집대성이라 할 수 있는 이 책의 의의는 충분하다.",K042638737,33300,37000,BOOK,https://image.aladin.co.kr/product/23178/94/coversum/k042638737_2.jpg,51560,국내도서>인문학>문화/문화이론>한국학/한국문화>한국민속/한국전통문화,혜화1117,10,12
서랍에서 꺼낸 미술관 - 내 삶을 바꾼 아웃사이더 아트,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=298452278&partner=openAPI&start=api,이소영 (지은이),2022-07-29,tvN ‘유퀴즈 온 더 블록’ 출연 등 다양한 방송활동으로 화제를 모은 미술 에세이스트 이소영이 이번에는 숨겨진 미술사의 비밀을 가득 안고 독자들을 찾아왔다. &lt;서랍에서 꺼낸 미술관&gt;은 저자의 오랜 관심사 ‘아웃사이더 아트’를 찾아다닌 마음의 여정을 기록한 책이다.,8936479148,16200,18000,BOOK,https://image.aladin.co.kr/product/29845/22/coversum/s802838026_1.jpg,50978,국내도서>예술/대중문화>미술>미술 이야기,창비,10,13
"묻지 않은 질문, 듣지 못한 대답 - 시각예술가 박혜수 작가 노트",http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=301181908&partner=openAPI&start=api,박혜수 (지은이),2022-09-16,"'꿈', '실연', '첫사랑', '나이 듦', '죽음'이라는 키워드를 중심으로, 지난 10여 년간 한국사회의 무의식을 탐험해온 시각예술가의 작가 노트이자 사회학 에세이. 작가는 보통은 사람들이 묻지 않는 질문들을 던지며, 독자들이 그 대답을 찾아내는 감각을 '경험'하도록 만든다.",K672839080,16650,18500,BOOK,https://image.aladin.co.kr/product/30118/19/coversum/k672839080_1.jpg,50978,국내도서>예술/대중문화>미술>미술 이야기,돌베개,0,14
미술관을 빌려드립니다 : 프랑스 편 - 당신을 위한 특별한 초대,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=301199661&partner=openAPI&start=api,이창용 (지은이),2022-10-05,"그림 읽어주는 남자, 이창용 도슨트가 들려주는 매혹적인 명작들에 담긴 비밀스러운 의미와 가치. 고대 메소포타미아에서 서양미술사 전 시대를 망라하는 미술작품을 찾아 떠나는 이창용 작가는 루브르 박물관에서 시작해서 로댕 미술관까지 이어진다.",K052839085,17550,19500,BOOK,https://image.aladin.co.kr/product/30119/96/coversum/k052839085_2.jpg,50978,국내도서>예술/대중문화>미술>미술 이야기,더블북,0,15
"한경아르떼 프리즈 서울 2022 - 세계 3대 아트페어 프리즈, 서울에서 만나다",http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=300341159&partner=openAPI&start=api,한경arte 특별취재팀 (지은이),2022-08-29,"아시아 최초 개최 프리즈 서울 2022를 소개하는 단 한 권의 책이다. 프리즈의 역사부터 프리즈 서울 총괄 디렉터, 아시아 VIP 총괄 인터뷰, 글로벌 갤러리의 간판급 작가의 작품 소개, 관람 전 알아두면 좋은 미술계 트렌드 등을 다채롭게 담았다.",K562839167,19800,22000,BOOK,https://image.aladin.co.kr/product/30034/11/coversum/k562839167_1.jpg,50989,국내도서>예술/대중문화>미술>도록,한국경제신문,7,16
