title,alternativeTitle,creator,regDate,collectionDb,subjectCategory,subjectKeyword,extent,description,spatialCoverage,temporal,person,language,sourceTitle,referenceIdentifier,rights,copyrightOthers,url,contributor
(학교도서관 중심의)정보매체와 교수매체론,,홈페이지,2021-01-05 23:31:24,사서추천도서,인문과학,,,"학교도서관&nbsp;중심의&nbsp;정보매체와&nbsp;교수매체론을&nbsp;다룬&nbsp;책.&nbsp;도서관&nbsp;관점에서의&nbsp;정보매체와&nbsp;학교도서관&nbsp;및&nbsp;교육계의&nbsp;교수매체적&nbsp;관점을&nbsp;통합하고자&nbsp;했다.&nbsp;학교도서관&nbsp;사서교사는&nbsp;문헌정보학적&nbsp;관점에서&nbsp;정보매체를&nbsp;관리,&nbsp;조직함과&nbsp;동시에&nbsp;이&nbsp;정보매체를&nbsp;교수매체적&nbsp;관점으로&nbsp;전환하여&nbsp;학교의&nbsp;교수학습&nbsp;과정과&nbsp;연계짓고,&nbsp;이를&nbsp;통해&nbsp;도서관활용수업,&nbsp;독서교육,&nbsp;정보활용교육을&nbsp;전개할&nbsp;수&nbsp;있는&nbsp;전문지식과&nbsp;능력이&nbsp;필요하다.&nbsp;이&nbsp;책은&nbsp;현장의&nbsp;사서교사는&nbsp;물론&nbsp;임용고시를&nbsp;준비하고&nbsp;있는&nbsp;학생들이&nbsp;학교도서관&nbsp;관점에서의&nbsp;교수매체를&nbsp;이해하는&nbsp;데&nbsp;도움을&nbsp;준다.",,,,kor,,http://www.nl.go.kr//upload/nl/rc_books/060818141139.jpg,이병기 지음,,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=67,
타살의 흔적,,홈페이지,2021-01-05 23:31:24,사서추천도서,자연과학,,,"죽음의&nbsp;원인을&nbsp;밝혀내고,&nbsp;범죄를&nbsp;해결하며&nbsp;억울함에&nbsp;빠질&nbsp;수&nbsp;있는&nbsp;사건에&nbsp;단서를&nbsp;제공할&nbsp;수&nbsp;있는&nbsp;‘법의학’의&nbsp;영역은&nbsp;할리우드의&nbsp;영화와&nbsp;소설&nbsp;그리고&nbsp;드라마&nbsp;속에서나&nbsp;존재하는&nbsp;것으로&nbsp;인식되던&nbsp;시기가&nbsp;있었다.&nbsp;하지만&nbsp;이제&nbsp;한국사회에서도&nbsp;법의학이라는&nbsp;용어는&nbsp;일반인들에게도&nbsp;낯설지&nbsp;않은&nbsp;존재가&nbsp;되었으며&nbsp;그&nbsp;중요성에&nbsp;대한&nbsp;인식은&nbsp;나날이&nbsp;달라지고&nbsp;있다.&nbsp;&lt;타살의&nbsp;흔적&gt;저자들은&nbsp;하루에도&nbsp;수차례의&nbsp;부검을&nbsp;진행하고,&nbsp;의문사를&nbsp;조사하며&nbsp;수사에&nbsp;자문을&nbsp;해주는&nbsp;대한민국&nbsp;최고의&nbsp;전문가들이다.&nbsp;이들이&nbsp;국내외의&nbsp;많은&nbsp;사례와&nbsp;사건&nbsp;중&nbsp;우리&nbsp;사회에&nbsp;큰&nbsp;반향을&nbsp;불러일으켰던&nbsp;것들을&nbsp;중심으로&nbsp;책을&nbsp;만들었다.&nbsp;우리의&nbsp;가슴을&nbsp;아리게&nbsp;한&nbsp;안타까운&nbsp;죽음,&nbsp;엄숙한&nbsp;죽음,&nbsp;처참한&nbsp;죽음,&nbsp;의문의&nbsp;죽음,&nbsp;반드시&nbsp;풀어야&nbsp;할&nbsp;죽음&nbsp;등을&nbsp;다시&nbsp;한번&nbsp;되짚어&nbsp;보고&nbsp;죽음에&nbsp;얽힌&nbsp;이런저런&nbsp;이야기들을&nbsp;담았다.&nbsp;이&nbsp;책의&nbsp;목적은&nbsp;죽음을&nbsp;흥미&nbsp;삼아&nbsp;나열하자는&nbsp;것이&nbsp;아니라&nbsp;죽음에&nbsp;대한&nbsp;우리들의&nbsp;이해를&nbsp;넓히고,&nbsp;또&nbsp;죽음을&nbsp;통해&nbsp;삶에&nbsp;도움을&nbsp;받기&nbsp;위한&nbsp;것이다.&nbsp;저자는&nbsp;반드시&nbsp;복기해야&nbsp;할&nbsp;사건을&nbsp;통해&nbsp;조사&nbsp;과정을&nbsp;설명해주면서&nbsp;때로는&nbsp;문제점",,,,kor,,http://www.nl.go.kr//upload/nl/rc_books/100831173135.jpg,국립과학수사연구소 법의관들과 강신몽,,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=707,
(우리가 정말 알아야 할)우리차,,홈페이지,2021-01-05 23:31:24,사서추천도서,사회과학,,,우리시대에있어&nbsp;&quot;차&quot;란&nbsp;무엇인가를&nbsp;알려주는&nbsp;자료로&nbsp;우리조상들은&nbsp;차를&nbsp;단순히&nbsp;기호음식인&nbsp;&quot;차&quot;로&nbsp;부르지&nbsp;않고&nbsp;&quot;도&quot;라고&nbsp;불렀다.&nbsp;그래서&nbsp;차도인것이다.&nbsp;즉&nbsp;물질인&nbsp;차&nbsp;속에&nbsp;도가&nbsp;깃들어&nbsp;있다는&nbsp;것이다.&nbsp;이러한&nbsp;내용을&nbsp;차의&nbsp;역사와&nbsp;문화사적인&nbsp;측면에서&nbsp;기술한&nbsp;자료이다.&nbsp;&nbsp;,,,,kor,,http://www.nl.go.kr//upload/nl/rc_books/060821165619.jpg,여연스님,,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=69,
가슴으로 크는 아이들,,홈페이지,2021-01-05 23:31:24,사서추천도서,사회과학,,,"이&nbsp;책은&nbsp;고등학교&nbsp;역사선생님인&nbsp;저자가&nbsp;교육현장에서&nbsp;일하고&nbsp;있는&nbsp;교사의&nbsp;이야기를&nbsp;써보고&nbsp;싶다는&nbsp;열망에&nbsp;선생님이자&nbsp;학부모의&nbsp;입장에서&nbsp;느끼고&nbsp;경험하고&nbsp;보고&nbsp;듣고&nbsp;한&nbsp;이야기들을&nbsp;아이들을&nbsp;키우면서&nbsp;평소&nbsp;학부모님게&nbsp;하고싶었던&nbsp;이야기,&nbsp;학생들과&nbsp;생활하면서&nbsp;겪었던&nbsp;일들,&nbsp;동료&nbsp;교사의&nbsp;눈으로&nbsp;본&nbsp;선생님의&nbsp;모습등을&nbsp;진솔하게&nbsp;담아낸&nbsp;자료이다.&nbsp;",,,,kor,,http://www.nl.go.kr//upload/nl/rc_books/060821171953.jpg,이경수 글,,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=71,
너의 앉은 그 자리가 바로 꽃자리니라,,홈페이지,2021-01-05 23:31:24,사서추천도서,어문학,,,"청춘이&nbsp;아름답게&nbsp;느껴지는&nbsp;사람이라면,&nbsp;그&nbsp;사람은&nbsp;그&nbsp;시기를&nbsp;지나온&nbsp;사람이다.&nbsp;모름지기&nbsp;청춘이란&nbsp;만개한&nbsp;꽃과&nbsp;푸른&nbsp;숲&nbsp;속과&nbsp;같아&nbsp;그&nbsp;자리에&nbsp;있는&nbsp;사람에게는&nbsp;눈부심이&nbsp;느껴지지&nbsp;않는다.&nbsp;자신이&nbsp;살고&nbsp;있는&nbsp;지금이&nbsp;얼마나&nbsp;아름다운지&nbsp;깨닫기는커녕&nbsp;보이지&nbsp;않은&nbsp;미래&nbsp;때문에&nbsp;가시방석에&nbsp;앉아&nbsp;있는&nbsp;것&nbsp;같을&nbsp;때가&nbsp;청춘이다.
&nbsp;&nbsp;이&nbsp;책은&nbsp;이렇게&nbsp;길을&nbsp;잃고&nbsp;방황하는&nbsp;청춘에게&nbsp;들려주는&nbsp;옛이야기이다.&nbsp;총&nbsp;8개의&nbsp;꽃자리로&nbsp;구성되어&nbsp;있는&nbsp;이&nbsp;책은&nbsp;각&nbsp;꽃자리가&nbsp;하나의&nbsp;장이&nbsp;되는&nbsp;것인데,&nbsp;각&nbsp;장마다&nbsp;작은&nbsp;소주제에&nbsp;맞는&nbsp;48가지&nbsp;옛이야기들이&nbsp;실려&nbsp;있다.
&nbsp;&nbsp;옛이야기는&nbsp;입에서&nbsp;입으로&nbsp;전해지는&nbsp;것이다.&nbsp;우리는&nbsp;어렸을&nbsp;적&nbsp;할머니가&nbsp;들려주신&nbsp;옛이야기를&nbsp;우리의&nbsp;손자손녀에게&nbsp;전해줄&nbsp;것이다.&nbsp;과거-현재-미래를&nbsp;잇는&nbsp;옛이야기&nbsp;속에는&nbsp;세대를&nbsp;더해갈수록&nbsp;겹겹이&nbsp;쌓인&nbsp;세월만큼&nbsp;지혜가&nbsp;더해져간다.&nbsp;그렇기에&nbsp;더욱&nbsp;옛이야기에&nbsp;담긴&nbsp;삶의&nbsp;지혜와&nbsp;경험이&nbsp;이제&nbsp;막&nbsp;세상을&nbsp;향해&nbsp;날개짓을&nbsp;시작한&nbsp;젊은이들에게&nbsp;필요한&nbsp;것이다.
&nbsp;&nbsp;저자&nbsp;이강엽이&nbsp;들려주는&nbsp;옛이야기&nbsp;속&nbsp;인생의&nbsp;메시지는&nbsp;따뜻하고&nbsp;애정이&nbsp;담겨&nbsp;있어&nbsp;청춘들에게는&nbsp;큰&nbsp;위안이&nbsp;�",,,,kor,,http://www.nl.go.kr//upload/nl/rc_books/100804162306.jpg,이강엽,,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=699,
살아있는 우리헌법 이야기,,홈페이지,2021-01-05 23:31:24,사서추천도서,사회과학,,,헌법이라는&nbsp;것에&nbsp;관심을&nbsp;가진&nbsp;일반인들을&nbsp;위해&nbsp;쉽게&nbsp;풀어쓴&nbsp;헌법&nbsp;해설서는&nbsp;찾기&nbsp;힘든&nbsp;형편이다.&nbsp;더구나&nbsp;뚜렷한&nbsp;헌법관이&nbsp;있는&nbsp;헌법책을&nbsp;보기란&nbsp;더더욱&nbsp;쉽지&nbsp;않다.&nbsp;그런&nbsp;점에서&nbsp;한상범의&nbsp;&lt;살아있는&nbsp;우리&nbsp;헌법&nbsp;이야기&gt;는&nbsp;명실상부한&nbsp;&#039시민을&nbsp;위한&nbsp;헌법&nbsp;교과서&#039라고&nbsp;할&nbsp;수&nbsp;있다.&nbsp;,,,,kor,,http://www.nl.go.kr//upload/nl/rc_books/051230094605.jpg,한상범 지음,,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=7,
눈먼 시계공. 1-2,,홈페이지,2021-01-05 23:31:24,사서추천도서,어문학,,,"2049년&nbsp;서울,&nbsp;기계와&nbsp;인간이&nbsp;몸을&nbsp;섞으며&nbsp;새로운&nbsp;진화를&nbsp;꿈꾸는&nbsp;시대,&nbsp;
&nbsp;뇌&nbsp;과학자와&nbsp;소설가가&nbsp;그려&nbsp;내는&nbsp;충격적인&nbsp;미래!

&nbsp;&nbsp;뇌&nbsp;강탈&nbsp;연쇄&nbsp;살인&nbsp;사건은&nbsp;미궁으로&nbsp;빠지고,&nbsp;서울특별시&nbsp;보안청&nbsp;특수&nbsp;수사대의&nbsp;형사들도&nbsp;하나하나&nbsp;희생당하기&nbsp;시작한다.&nbsp;과학과&nbsp;자본의&nbsp;욕망이&nbsp;어우러진&nbsp;로봇&nbsp;격투기&nbsp;대회는&nbsp;백열화되고,&nbsp;한쪽에서는&nbsp;자연희귀주의&nbsp;자들의&nbsp;테러와&nbsp;투쟁이&nbsp;격화된다.&nbsp;테러와&nbsp;쇼,&nbsp;그러나&nbsp;사건의&nbsp;실마리는&nbsp;잡히지&nbsp;않고,&nbsp;은석범은&nbsp;지상&nbsp;최강의&nbsp;로봇을&nbsp;가리는&nbsp;로봇&nbsp;격투기&nbsp;대회를&nbsp;둘러싼&nbsp;음모&nbsp;속으로&nbsp;들어간다.

&nbsp;&nbsp;과학을&nbsp;좋아하는&nbsp;소설가와&nbsp;소설을&nbsp;좋아하는&nbsp;과학자의&nbsp;공동&nbsp;집필이&nbsp;어떤&nbsp;식으로&nbsp;가능한지&nbsp;선례는&nbsp;없지만&nbsp;이&nbsp;책에서&nbsp;저자는&nbsp;마음껏&nbsp;몽상을&nbsp;펼쳤고,&nbsp;그것을&nbsp;멋진&nbsp;그림으로도&nbsp;옮겨&nbsp;날개를&nbsp;펼친&nbsp;작품이다.",,,,kor,,http://www.nl.go.kr//upload/nl/rc_books/100617141914.jpg,김탁환 :정재승 지음 ; 김한민 그림,,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=679,
(새로운 사회를 여는) 상상력 ,,홈페이지,2021-01-05 23:31:24,사서추천도서,사회과학,,,"이&nbsp;자료는&nbsp;새로운&nbsp;사회를&nbsp;여는&nbsp;연구원(새사연)에서&nbsp;새사연을&nbsp;준비하던&nbsp;준비위원들이&nbsp;진행한&nbsp;토론을&nbsp;정리한&nbsp;미래&nbsp;전략적&nbsp;글로써,&nbsp;사회&nbsp;각&nbsp;분야별로&nbsp;막힌&nbsp;매듭을&nbsp;어떻게&nbsp;풀어갈지에&nbsp;대해&nbsp;되도록&nbsp;쉬운&nbsp;말로&nbsp;설명했다.&nbsp;정치와&nbsp;경제&nbsp;분야를&nbsp;두&nbsp;축&nbsp;삼아서&nbsp;새사연&nbsp;연구원들의&nbsp;대담을&nbsp;주제별로&nbsp;묶었다.&nbsp;",,,,kor,,http://www.nl.go.kr//upload/nl/rc_books/060821170447.jpg,"김문주, 김병권, 박세길, 손석춘, 정명수, 정희용 ",,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=70,
화석 : 지구 46억년의 비밀,,홈페이지,2021-01-05 23:31:24,사서추천도서,자연과학,,,"&quot;화석&quot;은&nbsp;&#039돌로&nbsp;변한&nbsp;것&#039이라는&nbsp;뜻과&nbsp;&nbsp;&#039땅&nbsp;속에서&nbsp;파낸&nbsp;것&#039&nbsp;이라는&nbsp;의미를&nbsp;가지고&nbsp;있는데&nbsp;지구상에&nbsp;살았던&nbsp;생물의&nbsp;흔적을&nbsp;찾아&nbsp;볼&nbsp;수&nbsp;있는&nbsp;모든&nbsp;것들을&nbsp;포함하는&nbsp;개념이다.&nbsp;&nbsp;옛날&nbsp;지구상에&nbsp;존재하고&nbsp;번성했던&nbsp;대양한&nbsp;생물들의&nbsp;사진과&nbsp;설명을&nbsp;통해&nbsp;다양한&nbsp;고생물들을&nbsp;만날&nbsp;수&nbsp;있는&nbsp;기회를&nbsp;제공한다 &nbsp; 제&nbsp;1부는&nbsp;화석을&nbsp;수집하고&nbsp;연구하는데&nbsp;필요한&nbsp;기본적인&nbsp;내용, 제&nbsp;2부&nbsp;화석을&nbsp;보다&nbsp;깊이&nbsp;알아가기위해&nbsp;필요한&nbsp;관련분야들의&nbsp;기본적&nbsp;내용수록, 제&nbsp;3부&nbsp;지질학적으로&nbsp;시대를&nbsp;구분하게&nbsp;된&nbsp;벼경과&nbsp;시대&nbsp;흐름에&nbsp;따른&nbsp;과거의&nbsp;지구생태와&nbsp;고생물의&nbsp;변천, 제&nbsp;4부&nbsp;화석과&nbsp;관련된&nbsp;흥미&nbsp;있는&nbsp;내용들을&nbsp;좀더&nbsp;깊이&nbsp;있게&nbsp;접근, 제&nbsp;5부&nbsp;화석도감으로&nbsp;구성되어&nbsp;있다.",,,,kor,,http://www.nl.go.kr//upload/nl/rc_books/060818142950.jpg,송지영,,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=68,
(소설)무소유 : 법정스님 이야기,,홈페이지,2021-01-05 23:31:24,사서추천도서,어문학,,,"이&nbsp;소설은&nbsp;&nbsp;무소유의&nbsp;삶을&nbsp;몸소&nbsp;실천하고&nbsp;아름다운&nbsp;봄날에&nbsp;훌쩍&nbsp;떠나신&nbsp;법정스님의&nbsp;소박하면서도&nbsp;위대한&nbsp;삶을&nbsp;소설화한&nbsp;것이다.&nbsp;법정스님이&nbsp;태어나&nbsp;출가하고,&nbsp;수행하고,&nbsp;입적하기까지의&nbsp;모든&nbsp;삶이&nbsp;섬세하면서도&nbsp;맑고&nbsp;향기가&nbsp;가득하다.&nbsp;“출가&nbsp;수행자는&nbsp;고독&nbsp;위에&nbsp;우뚝&nbsp;서야&nbsp;한다”는&nbsp;스님의&nbsp;말씀과&nbsp;진실한&nbsp;자기수행의&nbsp;가치를&nbsp;보여주고&nbsp;있다.&nbsp;“관을&nbsp;짜지&nbsp;마라.&nbsp;승복이면&nbsp;족하니&nbsp;수의를&nbsp;입히지&nbsp;말라.&nbsp;장례의식을&nbsp;치르지&nbsp;말고&nbsp;간소하게&nbsp;다비하라.”&nbsp;는&nbsp;법정스님의&nbsp;마지막&nbsp;소리가&nbsp;아직도&nbsp;쟁쟁&nbsp;울리고&nbsp;있다.",,,,kor,,http://www.nl.go.kr//upload/nl/rc_books/100621155026.jpg,정찬주 지음,,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=680,
