title,alternativeTitle,creator,regDate,collectionDb,subjectCategory,subjectKeyword,extent,description,spatialCoverage,temporal,person,language,sourceTitle,charge,referenceIdentifier,rights,copyrightOthers,url,subDescription,issuedDate,contributor
이덕환의 사이언스 토크토크,,대한민국 정책포털시스템,2021-05-05 02:37:02,문화체육관광부 추천도서,,,프로네시스,"‘칼국수 같은 면류에 공업용 에탄올을 넣은 식품 제조업자가 구속됐다’는 뉴스를 보고 사람들은 한동안 면류 사먹기를 꺼린다. 이에 대해 저자는 술의 주성분이기도 한 에탄올이 식용과 공업용으로 구분되지 않으며 공업용 에탄올에 불순물이 더 들어있다는 주장도 잘못됐다고 이야기한다. 그러면서 주세를 내지 않은 에탄올을 식용으로 사용하지 못하게 의도적으로 첨가물(마실 수 없을 정도로 쓴맛을 내는 물질이나 인체에 독성이 강한 첨가제)을 넣은 변성알코올을 설명한다. 즉 국수 사건의 핵심은 주세를 낸 술 대신 변성 알코올을 사용한 탈세 행위라는 것이다. 저자는 일상에서 경험하는 문제를 합리적으로 파악하고 이웃과 소통하고 독자적으로 판단하는 과학적 인성을 길러 주는 것이 과학교육의 목표이며 이러한 과학적 인성을 기르도록 도와주는 훌륭한 소재가 바로 뉴스라고 말한다. ‘숨 쉬는 그릇 옹기의 진실, 비행기를 많이 탈수록 우주 방사선에 노출된다, 홍시 숙성시키는 카바이드의 정체, 천연치클 껌이 더 좋을까, 화산재가 항공대란 일으킨 이유, 천안함 인양의 어려움을 설명한 표면장력은 오류, 이천 냉동고 화재 속 폴리우레탄의 정체, 광우병 논란 속 프리온과 변형 프리온, 유가 인상에 대한 정부 대처의 문제점, 세포 관찰하는 해파리의 형광단백질’ 등 다양한 뉴스 속에 등장하는 과학적 개념과 오류를 집어낸다.",,,,Kor,,"15,000",http://www.mcst.go.kr/attachFiles/cultureInfoCourt/monthServ/1286259530884.jpg,이덕환,,http://www.mcst.go.kr/web/s_culture/book/bookView.jsp?pDetailSeq=105,장경애(과학동아 경영기획실장),2010.07.30,
금융의 지배,,대한민국 정책포털시스템,2021-05-05 02:37:02,문화체육관광부 추천도서,,,민음사,"글로벌 금융위기로 금융의 기능과 역할에 대해 그 어느 때보다 관심이 높아지고 있는 이 때, 세계 금융의 역사를 한 눈에 재미있게 읽어볼 수 있는 책이 출간되었다. 하버드 대학교 역사학과 니얼 퍼거슨 교수가 『돈의 부상: 세계의 금융 역사』란 제목으로 출간한 책을 민음사가 『금융의 지배』라는 제목으로 번역 출간하였다. 저자는 역사적 사건과 사료를 인용하며 세계 금융의 역사에 대한 해박한 지식을 보이고 있다. 한마디로 역사학자가 아니면 쓸 수 없는 금융의 역사가 흥미진진하게 전개되고 있다고 하겠다. 이 책은 6장으로 구성되어 있으며, 각각 화폐와 신용, 채권시장, 주식시장, 보험, 부동산시장, 국제금융의 역사를 다루고 있다. 화폐와 신용의 역사에서는 고대 메소포타미아의 신용 거래와 남미 정복으로 드러난 유럽인의 금과 은에 대한 지칠 줄 모르는 탐욕에 대해 기술하고 있다. 이어서 채권과 주식의 역사를 소개하고 있는데, 채권의 역사를 전쟁과 결부시키고 주식의 역사를 투기와 결부시키고 있다. 전쟁에서 승리하려면 채권발행을 통해 전비를 조달할 수 있어야 하며, 실제로 웰링턴이 워털루에서 나폴레옹을 이긴 것은 로스차일드 가문의 지원이 있었기 때문이다. 또한 현대 자본주의와 주식회사의 출현에 주목하고 첫 번째 거품이었던 미시시피사의 주가 거품을 야심 많고 사기성 있는 금융인 존 로 (John Law)를 통해 설명한다. 가장 관심을 끄는 대목은 ‘집처럼 안전하다 (safe as houses)’ 라는 표현을 낳은 영미인의 부동산 투자와 모기지 제도에 대한 설명이다. 주택소유에 대한 열망과 부동산 불패 신화는 우리나라에만 있는 것이 아니었다. 과연 우리나라는 주택담보대출을 늘려야 하는가?",,,,Kor,,"25,000",http://www.mcst.go.kr/attachFiles/cultureInfoCourt/monthServ/1286259603500.jpg,니얼 퍼거슨/ 김선영,,http://www.mcst.go.kr/web/s_culture/book/bookView.jsp?pDetailSeq=106,박원암(홍익대 경제학부 교수),2010.07.15,
우리가 싫어하는 생각을 위한 자유,,대한민국 정책포털시스템,2021-05-05 02:37:02,문화체육관광부 추천도서,,,간장,"이 책은 퓰리처상을 수상한 바 있는 언론인이자 법학자인 미국인 앤서니 루이스가 미국 수정헌법 1조가 보장하는 사상의 자유, 표현의 자유, 언론의 자유가 미국 사회에서 어떻게 발전하고 적용되어 왔는가를 구체적 사례들을, 가령 선동법, 간첩죄, 사생활, 언론의 면책특권, 애국적 히스테리, 성적 표현, 우리가 싫어하는 생각들(나치 옹호와 이슬람 극단주의 등)을 검토하면서 알기 쉽게 집필한 것이다. 역자의 한 사람인 박지웅이 군법무관으로 재직 시 2008년 국방부의 불온서적 지정에 문제를 제기했다가 군복을 벗게 된 이력을 가진 인물이라는 점은 이 책의 주제와 관련하여 의미심장하다. 동서고금을 불문하고, 권력자의 비위에 맞지 않는 사상이나 생각을 표명하다가 권력자의 분노를 사게 되면 걸려드는 죄가, 바로 법전에는 명문화되지 않은 ‘괘씸죄’이다. 독재체제이든 민주체제이든, 권력자는 자신의 비위에 맞지 않는 사상이나 생각의 표현에 대해 공식·비공식으로 괘씸죄를 통해 처벌·보복하고자 했기 때문이다. 따라서 근대에 들어와 비로소 인정된 사상·언론·표현의 자유는 권력자의 비위에 거슬리는 사상이나 생각의 자유로운 표현을 괘씸죄로 처벌할 수 없도록 보장하는 인권이며, 정치적으로는 비판과 반대의 자유를 보장하는 민주주의의 필수적 요소라 할 수 있다. 이 책은 민주시민의 필독서다.",,,,Kor,,"14,000",http://www.mcst.go.kr/attachFiles/cultureInfoCourt/monthServ/1286259675959.jpg,"앤서니 루이스/ 박지웅, 이지은",,http://www.mcst.go.kr/web/s_culture/book/bookView.jsp?pDetailSeq=107,강정인(서강대 정외과 교수),2010.08.30,
"강치야, 독도 강치야",,대한민국 정책포털시스템,2021-05-05 02:37:02,문화체육관광부 추천도서,,,봄봄,"이 책은 실제 사건을 바탕으로 쓴 글이다. 우리나라를 일본에 빼앗겼던 1905년부터 8년간, 일본 어업회사는 독도바다에 살던 바다사자-독도 강치 1만 4천여 마리를 무참히 죽였다. 고기와 기름, 가죽을 얻으려 저지른 일이다. 이 책의 주인공은 어린 독도 강치 ‘아라’다. 우리는 왜 독도를 꼭 지켜야 할까? 독도를 못 지키면 어떻게 될까? 작가는 그 답을 ‘아라’ 가족의 이야기를 통해 어린이들에게 알려준다. 어느 날 아라네 가족이 평화롭게 살던 독도 바다가 빨간 피로 물든다. 일본 어부들이 무더기로 강치들을 잡아 가죽을 벗겨낸 것이다. 아라 아빠 강치대왕은 무자비한 일본 어부들에게서 강치들을 지키려고 저항한다. 하지만 힘이 달려 어린 강치들만 겨우 구하고 다른 어른 강치들과 함께 죽음을 맞는다. ‘아라’를 향해 우리 바다를, 강치가 사는 독도를 지켜달라고 울부짖으면서. 만약 우리가 나라를 빼앗기지 않았다면 어땠을까? 그때도 일본 어부들이 독도까지 왔을까? 그럼 지금 우리는 독도 강치를 독도 바다에서 만날 수 있을까? 앞으로 이런 일이 다시 안 생기려면 우리가 해야 할 일은 무엇일까? 이 책을 읽는 어린이들은 한번쯤 생각할 것 같다. 이 책의 장점이다. 하지만 아무리 좋은 책도 재미가 없으면 어린이의 관심을 끌 수가 없다. 그런데 작가는 바다 동물을 의인화하여 어린이들이 재미있게 읽어갈 수 있게 써내려갔다. 독도 강치라는 소재도 새로웠다. 바닷가 마을이 삶터인 작가의 생생한 바다 속 묘사도 돋보였다. 저학년 어린이들의 호기심을 자극하기에 충분할 것 같다.",,,,Kor,,"9,000",http://www.mcst.go.kr/attachFiles/cultureInfoCourt/monthServ/1286256756247.jpg,"김일광 글, 강신광 그림",,http://www.mcst.go.kr/web/s_culture/book/bookView.jsp?pDetailSeq=101,"오은영, 서정숙(동시ㆍ동화작가, 그림책 평론가)",2010.08.30,
꼬닥꼬닥 걸어가는 이 길처럼,,대한민국 정책포털시스템,2021-05-05 02:37:02,문화체육관광부 추천도서,,,북하우스,"나는 이 저자를 잘 모른다. 나이가 비슷하고 언론계에 몸담은 시기도 많이 겹치지만 한번도 만난 적이 없다. 취재현장에서고, 술집에서고. 그렇다고 영 모른다고 할 수는 없다. 많은 기사와 책을 읽었고, 지인을 통해 듣기도 했다. 이런 어정쩡한 입장인데도 남들은 내가 서명숙과 엄청 가까운 줄 안다. 사석에서 그에 관한 이야기를 자주 하기 때문이다. 이야기의 골자는 “서명숙이 노벨평화상을 받아야 한다”는 것이다. 뚜렷한 공적도 없는 상을 받는 서방 정치인들을 떠올려서는 안 된다. 오히려 마이크로 크레디트로 상을 받은 방글라데시의 무하마드 유누스를 떠올리면 서명숙도 자격이 충분하지 않나 여겨지는 것이다. 이 책의 서평은 서명숙이 노벨평화상을 받아야 하는 이유와 일치한다. 올레는 걷기의 소중함을 일깨운 위업이다. 걷기는 산책이나 행군과 다른 인문적 동작이다. 걷는 가운데 자기를 발견하고 대화한다. 걷기를 마무리하면 나눔과 배려의 가치를 체득한다. 속도전의 문법에 익숙한 현대인, 앞만 보고 정신없이 달려가는 사회에 천천히 자신을 돌아보게 만든 점에서 인간의 보편적 가치를 드높였다. 그 가치에는 자유와 평화, 사랑이 들어있다. 좀 더 거친 비유를 하자면 이렇다. 1954년에 출간된 정비석의 『자유부인』에 대해 당시 황산덕 서울법대 교수가 “중공군 50만 명에 해당하는 적”이라고 지적했다면, 서명숙의 책은 “세계인 50억을 치유하는 친구”에 해당한다. 하나의 길이 또 다른 길을 낳고, 그 길은 지역이나 나라의 울타리를 넘어 끝없이 이어지니 50억의 숫자가 결코 과하지 않다. 이미 제주를 넘어 대구에 올레가 생겼고 스위스 알프스에도 수출했다고 하지 않나. 산티아고 순례길을 나서는 한국인이 많지만, 여행의 깨달음을 실천으로 옮긴 이는 드물다. 책갈피 속에는 길을 생각하고 내는 과정의 어려움과 기쁨, 식구들의 내밀한 이야기가 담겨 있다. 올레 10 코스에 담겨 있는 정난주 마리아의 거룩한 사연은 난생 처음 듣는 이야기다. 서평을 위해 책을 너무 빨리 읽은 것이 올레 정신에 어긋나지 않은지 돌아볼 뿐이다.",,,,Kor,,"15,000",http://www.mcst.go.kr/attachFiles/cultureInfoCourt/monthServ/1286256863939.jpg,서명숙,,http://www.mcst.go.kr/web/s_culture/book/bookView.jsp?pDetailSeq=102,손수호(국민일보 논설위원),2010.08.26,
"고전, 대중문화를 엿보다",,대한민국 정책포털시스템,2021-05-05 02:37:02,문화체육관광부 추천도서,,,이숲,"이 책은 재미있다. 골치 아픈 문제까지 나아가지 않고 우리의 고전과 지금의 대중문화 사이를 오가면서 우리의 지평을 넓혀준다. 예를 들어보자. 선과 악의 문제는 아주 오래된 것이다. 왜 세상에는 악이 존재하는가? 이런 문제는 철학적 문제이거나 종교적 문제일 것이다. 이 책은 악의 문제를 이런 식으로 다루지 않는다. 대신에 과거의 영웅소설의 독자들이나 현재의 우리가 왜 영웅이 악의 화신을 통쾌하게 무찌르는 이야기를 만들고 즐기는가를 묻고 있다. 이런 점에서 가벼워 보일 수도 있지만 그렇지 않다. 대중문화의 종류가 애니메이션, 영화, 게임 등 아주 넓을 뿐 아니라 한나 아렌트가 등장할 정도로 깊이도 있기 때문이다. 폭과 깊이를 적절히 갖추고 있고 주제도 다양하다. 글은 편하고 친절하여 읽기에도 부담이 없다. 그렇다고 시각이 만만한 것은 아니다. 홍길동을 두고 성공한 정복자인가, 실패한 혁명가인가를 날카롭게 따지고 있다. 춘향전의 변학도에 대한 변명도 흥미롭다. 한 마디로 고전을 새로운 시각으로 보자는 시도인데 성공적으로 보인다. 문제의식과 함께 풍부한 학식이 없다면 성공하지 못했을 것이다. 그리고 이 책은 편집도 독자에게 도움이 많이 된다. 우선 고전 요약이 나오고 고전에 대해 하나씩 따지면서 새로운 해석을 제공한다. 그와 동시에 새로운 해석이 지금 여기의 대중문화와 어떻게 연결되는지를 알려준다. 이 점에서 저자들은 눈을 반짝인다. 그리고 중간중간 주제와 관련된 책이나 영화를 소개한다. 마지막에는 더 읽으면 좋은 책을 소개함으로써 완결감을 준다. 읽으면 교양도 늘어나고 재미도 얻을 수 있을 것이다.",,,,Kor,,"14,000",http://www.mcst.go.kr/attachFiles/cultureInfoCourt/monthServ/1286258958909.jpg,"오세정, 조현우",,http://www.mcst.go.kr/web/s_culture/book/bookView.jsp?pDetailSeq=103,탁석산(철학자),2010.08.20,
클래식을 좋아하세요?,,대한민국 정책포털시스템,2021-05-05 02:37:02,문화체육관광부 추천도서,,,갤리온,"언젠가 음악사를 전공하는 분을 초청하여 열정이 넘치는 음악 강좌를 들은 적이 있었다. 강의 후 저녁식사 장소로 옮기기 위해 그 분의 차를 탔는데, 시동을 거는 순간 아름다운 클래식 음악이 흘러나왔다. ‘아, 역시 음악을 전공하시는 분답다’ 하고 생각한 것은 아주 찰나였다. 그 분은 음악을 툭,하고 꺼버렸고, 곧 차 안에는 적막이 흘렀다. “아, 듣고 계셨다면 미안해요. 저도 오전엔 이 음악을 들으면서 행복하게 집을 나섰죠. 하지만 하루 종일 음악에 시달린 후에는 별로 듣고 싶지가 않아서요.” 그 때 처음으로 음악에 시달린다는 것이 어떤 느낌일지 생각해 보았었다. 오래도록 열정을 다 바쳐 짝사랑을 하는 사람들이 가지게 되는 피로와 회의 같은 기분이라고 하면 알맞을까. 하지만 그 심정은 다음 날 아침이 되면 온데간데없이 사라져버리고 또다시 음악을 사랑할 수밖에 없는, 어떤 운명과도 같은 삶을 매일 시작하는 사람들이 있다. 저자도 그런 사람 중 하나로, 이 책에는 음악에 대한 그녀의 애증이 듬뿍 담겨있다. 애증의 감정은 음악을 피상적으로 맛본 사람이 아닌, 실제로 음악과 함께 살아 본 사람만이 느낄 수 있는 것이다. 상대방을 샅샅이 이해할 수 없어도 사랑할 수 있듯이, 음악을 사랑하는 일에 있어서도 반드시 공감이 필요한 것은 아니라고 저자는 지적한다. 굳이 억지스럽게 교감을 끌어내고자 애쓰지 않아도 음악은 얼마든지 ‘설득력’ 있게 우리에게 다가올 수 있다는 것이다. 클래식 음악을 주변의 삶과 연관시켜 선별한, 음악 감상을 위한 무겁지 않은 안내서로서 지나치게 지적이지 않고 그렇다고 센티멘탈한 감성에 치우치지도 않은 읽어봄직한 책이다.",,,,Kor,,"15,000",http://www.mcst.go.kr/attachFiles/cultureInfoCourt/monthServ/1286259455852.jpg,김순배,,http://www.mcst.go.kr/web/s_culture/book/bookView.jsp?pDetailSeq=104,이주은(성신여대 교육대학원 교수),2010.08.30,
못 가본 길이 더 아름답다,,대한민국 정책포털시스템,2021-05-05 02:37:02,문화체육관광부 추천도서,,,현대문학,"소설은 말할 것도 없지만 산문 또한 출간될 때마다 마치 기다리고 있었다는 듯이 찾아 읽는 독자군을 형성하고 있는 노(老)작가의 ‘못 가본 길이 더 아름답다’는 제목처럼 우리가 미처 보지 못하고 닿지 못했던 것들을 향한 박완서식 입심이 이 책에서 황홀하게 펼쳐진다. 그는 여전히 까다롭고 짱짱하고 아름다운 글을 쓰는 작가다. ‘또 책을 낼 수 있게 되어 기쁘다. 내 자식들과 손자들에게도 뽐내고 싶다. 그 애들도 나를 자랑스러워했으면 좋겠다. 아직도 글을 쓸 수 있는 기력이 있어서 행복하다.’ 라고 책 머리말을 쓴 그의 글은 독자로 하여금 다른 생각을 할 틈이 없이 문장들이 휘몰아쳐 간다. 그가 어떻게 그렇게 오래 ‘정신의 탄력’을 잃지 않고 팔순이 다 되는 지금까지 어느 젊은 작가 못지않게 작품 활동을 해왔는지의 토대가 드러날 때면 경건해지기도 한다. 자서전격으로 읽어도 좋을 대목들이 수두룩하고 죽비로 등을 얻어맞는 듯한 따끔한 비판이 수두룩하고 노년의 작가가 바라보는 세상의 미미하고 보잘 것 없는 생명들을 향한 예찬이 또한 음표처럼 수두룩하게 불려 나온다. 친구에게 가족에게 후배에게 망설임 없이 권할 수 있는 글이 좋은 글이라고 한다면 거기에 박완서라는 이름과 박완서가 쓴 글처럼 적격인 경우도 드물다. 그는 명분이 있다 하여 무작정 받아들이지도, 옳지 않다고 하여 날을 세워 비판하지도, 해결되지 않는 쪽에 서 있다 하여 그저 옹호하거나 감싸지도 않는다. 그에게 무조건이라는 게 있다면 살아 있는 것들을 향한 감탄이다. 그 감탄은 그저 나온 게 아니다. 시대적으로나 개인적으로 정리될 틈도 없이 진군해 온 불행에 쓰러지지 않고 그 불행을 껴안거나 딛거나 자신도 모르게 극복하면서 오늘날까지 새로운 글을 써내고 있는 노작가가 내지르는 감탄이라 ‘쓰는 일은 어려울 때마다 엄습하는 자폐의 유혹으로부터 나를 구하고 내가 사는 세상에 대한 관심과 애정을 지속시켜주었다’고 하는 작가의 말에 깊이 공감하게 되는 것일 터다.",,,,Kor,,"10,800",http://www.mcst.go.kr/attachFiles/cultureInfoCourt/monthServ/1283478526517.jpg,박완서,,http://www.mcst.go.kr/web/s_culture/book/bookView.jsp?pDetailSeq=100,신경숙(작가),2010.08.02,
나는 왜 쓰는가,,대한민국 정책포털시스템,2021-05-05 02:37:02,문화체육관광부 추천도서,,,한겨레출판,"『동물농장』과 『1984년』의 작가 조지 오웰은 실천적 지식인의 전형이다. 실천적 지식인이란 누구인가? 자신이 가진 지적·언어적 능력 및 기능을 세계의 갱신을 위해 싸우고 있는 자신의 삶에 최대한도로 밀착시키는 사람이다. “1936년부터 내가 쓴 심각한 작품은 어느 한 줄이든 직간접적으로 전체주의에 ‘맞서고’ 내가 아는 민주적 사회주의를 ‘지지하는’ 것들이다”(『나는 왜 쓰는가』)와 같은 구절이 그대로 가리키듯 그에게 삶과 글은 결코 나누어지지 않는다. 게다가 이어지는 문단에서 “지난 10년을 통틀어 내가 가장 하고 싶었던 것은 정치적인 글쓰기를 예술로 만드는 일이었다”라는 구절까지 읽으면 우리는 고통의 누적으로서의 삶 전체를 덩어리째로 글의 마술에 의해 ‘사는 기쁨’으로 만들고자 고투하는 작가의 절절한 모습을 그려볼 수 있다. 물론 이런 직접적인 언명이 그의 글쓰기를 보장해주는 것은 아니다. 실제의 글쓰기에 의해서만 그것은 증명될 수 있으며, 그 점에서 오웰의 에세이는 더할 나위 없는 물증이다. 통상적인 에세이가 세계에 대한 솔직한 느낌과 생각을 전달하기 위해 세계와 약간의 거리를 두고 있다면 오웰의 에세이는 그대로 산 체험이다. 그리고 매순간 세계와 씨름하는 가운데 현장에서 솟아나는 생각들을 싸움의 기운을 그대로 담아 뿜어낸다. 체험의 매순간이 금언 하나씩을 분만하는데, 게다가 그 생각들은 단일하지 않고, 정치와 문학과 언어와 인생에 대한 무궁무진한 통찰들을 담고 있는 것이다. 그의 에세이에서 매우 입체적인 조형미와 탄력을 느끼게 되는 까닭이 거기에 있다.",,,,Kor,,"18,000",http://www.mcst.go.kr/attachFiles/cultureInfoCourt/monthServ/1288708398401.jpg,조지 오웰/ 이한중,,http://www.mcst.go.kr/web/s_culture/book/bookView.jsp?pDetailSeq=120,정과리(연세대 국문과 교수),2010.9.15.,
잉카 최후의 날,,대한민국 정책포털시스템,2021-05-05 02:37:02,문화체육관광부 추천도서,,,옥당,"1532년 11월 16일, 프란시스코 피사로가 이끄는 168명의 스페인 군대는 8만의 잉카대군과 맞섰다. 불과 몇 시간 후 스페인군은 7,000여명의 잉카군을 학살하고 황제 아타우알파를 생포한다. 황제는 한 방 가득한 몸값을 지불했으나 피사로는 황금만 챙긴 후 죽여 버렸다. 수수께끼의 마추픽추 문명을 건설한 인구 1천만의 잉카가 168명의 스페인군에 의해 멸망당한 것이 과연 사실인가? 인류학자이자 작가인 킴 매쿼리가 집필한 『잉카 최후의 날』은 이 수수께끼 왕조의 멸망의 날을 잉카와 스페인 양측의 시각으로 바라보며 새롭게 조명한다. 스페인 인들이 자신들의 견지에서 기록한 잉카사의 한계를 아마존 강 유역에서 잉카 제국을 기억하고 있는 ‘요라(yora)’라는 부족을 찾아냄으로써 잉카인의 시각을 가미하는데 성공했다. 그래서 저자는 꼭두각시 노릇을 하던 잉카의 어린 황제가 대규모 반란군을 이끌고 스페인 병사들과 맞서 싸웠고 그들을 거의 소탕할 뻔했었으며, 아마존 밀림 속에 비밀의 도시 빌카밤바를 세우고 36년 동안 치열한 게릴라전을 펼쳐나갔다는 새로운 사실들을 발굴해냈다. 새로운 사료 덕분에 스페인군과 잉카군의 전투가 반전에 반전을 거듭하면서 살아 꿈틀댄다. 구두 수선공, 재단사, 선원, 대장장이, 목수, 상인 등으로 구성된 스페인 인들이 목숨 걸고 남미까지 간 이유는 물론 황금 때문이었다. 황제 아타우알파가 비운의 운명을 맞게 된 이유도, 피사로 형제들과 디에고 데 알마그로가 벌인 동지들 간의 싸움도 마찬가지였다. 그러나 잉카 멸망의 원인에는 외부의 적보다 황위를 빼앗으려는 내부의 적을 더 두려워한 잉카의 황위 다툼도 포함된다. 역사의 수수께끼를 추적하면서 그 속에 인간의 욕망과 모험, 그리고 교훈까지 생생하게 살아 숨쉬는 작품이다.",,,,Kor,,"32,000",http://www.mcst.go.kr/attachFiles/cultureInfoCourt/monthServ/1280364874867.jpg,킴 매쿼리/ 최유나,,http://www.mcst.go.kr/web/s_culture/book/bookView.jsp?pDetailSeq=12,이덕일(한가람 역사문화연구소 소장),2010.01.06,
