,name,poster_link,director,description
0, 바이 더 씨,https://www.kobis.or.kr/common/mast/movie/2016/04/f5935910bd95469eaf7ff39ad7b2a286.jpg,['안젤리나 졸리'],"아직도 나를 원해요?결혼 14년차, 위기를 극복하지 못한 부부 ‘롤랜드’와 ‘바네사’는 뜨거웠던 사랑의 순간을 되찾기 위해 낯선 바닷가로 여행을 떠난다.다가갈수록 멀어지는 아내가 원망스러운 남자 거부할수록 애틋해지는 자신이 서글픈 여자 이 여행이 끝나면... 우리 영원히 행복할 수 있을까?"
1, 더 메리: 잃어버린 영혼,https://www.kobis.or.kr/common/mast/movie/2016/04/5d08694afe2f4000a9f016a2795863db.jpg,['제니퍼 B. 화이트'],"‘2016년가장끔찍한기억,그날밤메리에게무슨일이일어난걸까?!’    무용을좋아하고꿈많은10대사춘기소녀인메리는가족들과함께호숫가별장으로휴가를떠난다. 즐거운시간을보내고있던어느날밤메리가실종된다.  가족들이경찰에신고를하고초조하게기다리는데아무일도없었다는듯메리가돌아온다. 메리는그날밤의일을전혀기억하지못한다.  한편집에는메리를닮은유령이출몰하자온가족은혼란과공포에휩싸이고계속해서가족을위협하는알수없는일들이일어나는데…"
2, 아버지와 이토씨,https://www.kobis.or.kr/common/mast/movie/2017/03/9f69b33f94fc4fb8951654cffd114ac0.jpg,['타나다 유키'],으-앙 어색하다뜨-악 화가난다하-아 부끄럽다34세 ‘아야’와 그녀의 남친 54세 ‘이토씨’가 사는 집에무단 입주(!)하신 74세 아야의 ‘아버지’어쩌다 함께 살게 된 세 사람이 만들어가는 무릎 탁! 코끝 찡! 눈물 똑! 2017 가족 시트콤
3, 스트라튼,https://www.kobis.or.kr/common/mast/movie/2017/09/8bbca7bda9074012835164273ed53716.jpg,['사이먼 웨스트'],"올가을, 모두를 사로잡을 압도적인 뉴 액션 블록버스터가 온다! 사상 최악의 생화학 테러, 막지 못하면 모두가 죽는다!  영국해군특수부대 MI6 소속 부서인 스페셜 보트 대대 SBS의 요원 ‘존 스트라튼’(도미닉 쿠퍼). 이란에서 생화학 무기가 개발되었다는 첩보를 입수한 그는 미국 측 요원과 함께 해당 연구소로 진입하지만, 예상치 못한 공격으로 인해 임무는 실패로 돌아가고, 동행했던 미국 요원은 목숨을 잃게 된다. 이후 개발되었다던 생화학 무기는 전 KBG요원이자 국제적 테러리스트인 ‘그레고르 바로브스키’(토마스 크레취만)의 손에 들어가며 전 인류가 테러 위기에 놓이게 된다. 영국 다이닝 가부터 미국 워싱턴까지 전 세계 수백만 명의 목숨을 위협하는 그를 막기 위해 ‘스트라튼’이 인류의 운명을 건 전쟁을 시작하는데…"
4, 산책하는 침략자,https://www.kobis.or.kr/common/mast/movie/2018/08/d98baa42ff174a809343c84f12596c53.jpg,['구로사와 기요시'],"사실적인 공간에서 마주하는 어둠의 세계를 기괴하게 그리며 J-호러의 대표적 감독인 구로사와 기요시 특유의 스타일이 살아있는 영화다. 충격적인 장면으로 놀라게 하기보다 관조적인 방식으로 인간 내면의 잔인함을 꺼내놓는 심리 호러로서, 서서히 긴장감을 끌어올려 마지막에 진실을 알아가며 폭발하게 한다. 연극으로 처음 소개되었다가 소설을 거쳐 영화로 만들어졌고 칸영화제에서 상영되었다. 이어서 TV 드라마로까지 스핀오프되었다. 실종 후 달라진 모습으로 집에 온 신지는‘ 지구를 침략하러 왔다’라고 아내에게 고백하고, 평온한 마을에 서서히 풍파를 일으킨다. 외계인이 된 신지는 인간의‘ 개념’을 수집하고, 신지로 인해서 할 일을 망각한 사람들은 유치하고 이상하게 행동한다. 지나치게 비정하고 폭력적인 두 젊은 외계인은 사회를 좀먹는 비인간적 현상에 대한 우화로 비친다. 묵시록적 혼돈으로 붕괴한 사회를 시각화하는 탁월함은 여전하지만, 허무주의적 절망보다는 희망과 사랑을 내세우며 혼란 가득한 세상을 구원하려는 변화가 엿보인다. (정민아)"
5," 아이, 토냐",https://www.kobis.or.kr/common/mast/movie/2018/02/0fb92dde64214c3db7c2141de116be9c.jpg,['크레이그 질레스피'],"세상이 열광하고 버렸던 은반 위의 악녀미국 최초로 세계선수권대회에서 트리플 악셀을 성공시킨 토냐 하딩.괴물 같은 엄마의 가르침에 독기 품고 스케이트를 타는 그녀 앞에 낸시 캐리건이 강력한 라이벌로 등장하고, 동계올림픽 출전권을 따기 위한 선수권 대회에서 ‘낸시 캐리건 폭행 사건’에 휘말리게 된다. 온갖 스캔들의 중심에 서게 된 토냐 하딩은 과연 다시 은반 위에 설 수 있을까?"
6, 레오나르도 다 빈치,https://www.kobis.or.kr/common/mast/movie/2018/04/2b975104e21446768d355e0a4f2a1577.jpg,['세르지오 맨피오'],"상상력, 발명, 그림, 모험심 어느 하나 빠질 것 없는 천재 소년 ‘레오나르도 다 빈치’! 세상에 없는 기발한 발명품을 만들어 친구들에게 자랑하는 것이 즐거움인 레오는 어느 날, 보물을 가득 담은 해적선이 바다에 침몰했다는 소식을 듣는다~   우리가 가만 있을 순 없지! 레오와 친구들은 보물을 찾기 위해 무시무시한 해적들이 기다리고 있는 몬테크리스토섬으로 떠난다!   꿈꾸면 이루어진다! 바다 속에 풍덩~ 빠져버린 보물을 찾기 위한 천재 발명왕 레오나르도와 친구들의 짜릿한 모험이 시작된다!"
7, 후로티로봇 극장판,https://www.kobis.or.kr/common/mast/movie/2019/07/3a96c11270a8461da2d5437b3dcef7d6.jpg,['왕외'],"세상을 구할 달콤한 오렌지 ‘씨씨’와 용감한 소년 ‘태양’의 달.콤.용.감.한 어드벤처!평화로운 과수원에 살고 있는 오렌지 ‘씨씨’‘사람을 조심하라'는 부모님의 말씀을 어기고 꼬마 친구 ‘태양’의 눈에 띄어 가족들과 떨어져 과일가게에 가게 된다. 모두가 잠든 밤, ‘태양’이의 영혼이 ‘씨씨’ 몸 속으로 들어가게 되고, 과일 가게의 과일 친구들이 나쁜 쥐대왕 때문에 위험에 처한 것을 알게 되는데…과일 친구들을 무사히 구해내는 방법은 전설의 ‘후로티로봇’을 이용하는 것뿐!과연 ‘씨씨’와 ‘태양’은 무사히 친구들을 구해내고 가족의 품으로 돌아갈 수 있을까?!"
8, 인류종말 - 그 후,https://www.kobis.or.kr/common/mast/movie/2020/04/9bdc4e304d504b38b490dd155a3969cc.jpg,['캐롤라이나 헬스가드'],"전지구적인 재앙 가운데, 독일에서 인간이 살 수 있는 안전지역은 바이마르와 예나 뿐. 자살에 실패한 우울증 환자 비비와 강인한 투사 에바는 두 도시 중간 어디쯤에서 살아남아야 한다. 종말을 맞은 세상에 대한 철학적인 물음과 아름다운 자연을 담은 독일다운 좀비 영화. 같은 제목의 그래픽 노블이 원작이다."
9, 더 렌탈: 소리없는 감시자,https://www.kobis.or.kr/common/mast/movie/2020/09/5758184cd57b45c29519c4696c32bf66.jpg,['데이브 프랑코'],"완벽한 이곳, 모든 것이 감시 당하고 있다!연인 ‘찰리’와 ‘미셸’은 동생 커플과 함께 오리건 해변의 멋진 뷰가 있는 렌탈 하우스로 휴가를 떠난다.즐거운 시간을 보내는 한편, 완벽해 보이는 집에서 불쾌하고 낯선 시선을 느낀 네 사람은 누군가에게 감시 당하고 있다는 의심을 품게 되고, 숨겨둔 비밀이 하나 둘 드러나기 시작하는데.."
