exhibition_id,exhibition_name,poster_link,exhibition_description,exhibition_period,exhibition_place
20220927060000,[집밖] 낯선 만남,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1661992176948.jpg,"
전시소개

<낯선 만남>은 전통과 현대의 경계선에 있는 청년 서예단체 80후(後)의 서예가 8인과 타 장르의 시각예술가 8인이 만나는 자리입니다. 우리에게 익숙한 동시대 현대미술과 한국적인 아름다움을 보여주는 서예가 짝을 이루어 새로운 예술 방식을 제안합니다. 서예에서 획과 획이 서로 연결되는 것처럼 16인의 예술가는 서로의 낯섦 ㅡ 장르를 오가며 ‘이질적인 연결고리’를 만들어 냅니다.

~, @, #, /
당신은 어떻게 읽나요? 

생각지도 못한 만남을 한 작가들은 자신의 영역에 손님을 맞이합니다. 이렇게 함께하게 된 이들은 특수문자를 키워드 삼아 일상의 소재를 예술의 영역까지(~) 확장합니다. 앞과 뒤에 무엇이 붙는지에 따라 의미가 달라지는 특수문자처럼 작가들은 서로 결합하여 기존과는 다른 창작을 선보입니다. 각 팀이 키워드를 해석하고 융합해나가는 과정을 만나면서 우리는 작품에 #공감하기도 하고, 생각지도 못한 #발견도 할 수 있습니다. 전시의 감상을 마친 순간 @당신이 더 이상 서예를 고정된 이미지로 / 나누지 않고 / 새롭게 경험하는 계기가 되길 바랍니다.


참여작가 : 송이슬ｘ조지, 윤정연ｘ박현지, 이광호ｘ선우훈, 이신영ｘ민찬욱, 이완ｘ인세인 박, 이윤정ｘ김원진, 정준식ｘ이다희, 채송화ｘ고숙
해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다.
1688-2220
",2022. 8. 26.~2022. 9. 25.,서울 | 예술의전당 서울서예박물관
20220927060001,[집밖] 명인 명창의 부채 - 바람에 바람을 싣다,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1661991650866.jpg,"
전시소개

국립국악원 국악박물관은 초여름부터 열기가 가득한 2022년 여름을 맞이하여 판소리, 무용, 굿, 연희 등 전통공연예술의 명인 명창이 사용한 부채 88점을 소개합니다. 부채는 판소리와 무용, 굿, 줄타기, 탈춤 등 전통공연예술에 폭넓게 사용되는 소품인 동시에 명인 명창의 바람과 이상을 보여줄 수 있는 또 하나의 예술작품입니다.
명인들의 부채 속에 담긴 글과 그림을 통해 명인 명창들의 삶과 바람을 느껴볼 수 있는 전시가 될 것입니다.
해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다.
1688-2220
",2022. 6. 29.~2022. 9. 25.,서울 | 국립국악박물관
20220927060002,[집밖] 한국의 채색화 특별전 : 생의 찬미,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1661906040982.jpg,"
전시소개
한국의 채색화 특별전 «생의 찬미»는 한국 채색화의 전통적인 역할에 주목하고, 각 역할별로 19세기~20세기 초에 제작된 민화와 궁중장식화, 그리고 20세기 후반 이후 제작된 창작민화와 공예, 디자인, 서예, 회화 등을 아우르는 다양한 장르의 80여 점의 작품들로 구성된 특별전이다. 전시에는 제15대 조계종 종정 성파 대종사를 비롯한 강요배, 박대성, 박생광, 신상호, 안상수, 오윤, 이종상, 한애규, 황창배 등 다양한 분야의 작가 60여 명이 참여한다. 송규태, 오순경, 문선영, 이영실 등 현대 창작민화 작가 10여 명도 함께 참여한다. 그중 3인 작가의 커미션 신작을 포함하여 13점이 최초로 공개된다.


전시는 전통회화의 역할을 ‘벽사’와 ‘길상’, ‘교훈’과 ‘감상’등 네 가지 주제, 6개 섹션으로 구성했다. 첫 번째 ‘마중’에서는 가장 한국적인 벽사 이미지인 처용을 주제로 한 존 스턴 감독의 영상 ‹승화›로 전시를 마중한다. 두 번째 ‘문 앞에서:벽사’에서도 길상의 첫 역할인 벽사의 의미를 담은 도상들로 시작된다. 신상호 작가의 ‹Totem›을 시작으로 ‹욕불구룡도›와 ‹오방신도›, ‹까치 호랑이›, 성파 대종사의 ‹수기맹호도›와 같은 전통적인 도상들이 한애규의 ‹기둥들›, 오윤의 ‹칼노래› 등과 함께 펼쳐진다. 세 번째 ‘정원에서: 십장생과 화조화’에서는 전통적인 길상화인 십장생도와 모란도 등 19세기 말 작품부터 최근에 이르기까지 길상 도상의 의미와 표현의 확장을 모색해 온 회화와 영상 작품 등을 중심으로 구성된다. ‹십장생도› 병풍과 함께 김혜경의 영상작품 ‹길상›, 전혁림의 ‹백낙병›, 김종학의 ‹현대모란도›, 손유영의 ‹모란 숲›, 홍지윤의 ‹접시꽃 들판에 서서› 등의 작품이 포함된다. 네 번째 ‘오방색’에서는 높은 층고의 열린 공간 중앙홀에 2개의 작품이 설치된다. 모두 오방색을 소재로 한 작품으로 김신일의 설치작품 ‹오색사이›와 이정교의 거대한 네 마리 호랑이 작품 ‹사·방·호›가 선보인다. 다섯 번째 ‘서가에서: 문자도와 책가도, 기록화’에서는 정원을 지나 들어간 어느 서가에서 만난 책과 기록에 대한 이야기를 담았다. 이 공간에서는 8명의 작가들이 선보이는 다양한 문자도와 이번에 최초로 공개되는 ‹매화 책거리› 8폭 병풍을 포함한 다양한 책가도, 그리고 우리나라 역사상 격변의 시기를 입체적으로 조명한 기록화들을 경험할 수 있다. 마지막 ‘담 너머, 저 산: 산수화’에서는 서가를 나와 다시 정원에 들어서며 보이는 담 너머 펼쳐진 산수화로 구성되어 있다. 다른 채색화 분야와는 다르게 감상화로 분류되어 중앙화단에서도 크게 유행했던 산수화의 다양한 변주를 한 자리에서 볼 수 있다.

해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다.
1688-2220
",2022. 6. 1.~2022. 9. 25.,과천 | 국립현대미술관 과천관
20220927060003,[아트센터 화이트블럭] 아아! 동양화 : 열린 문,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1656898393887.jpg,"
전시소개


동양화가 변화한다. 어떻게 보면 동양화의 범주를 훌쩍 넘어버린 모양새다. 
시대와 세대의 변화는 동양화의 범주를 몰라보게 확장시켰고, 지금에 와서 다시 돌이켜 보면 과거 치열하게 논의했던 동양화의 전통과 정체성 문제도 식어 버린 지 오래되었다. 

한국의 미술문화는 대학 문화에 기반한다. 과거 60-90년대 후반까지 한국의 동양화는 전통을 기반으로 한 동양화 양식이 거의 대부분이었다. 이시기 동양화는 한국성이라는 온전함을 획득하고, 서양화와 대비되는 동양화의 고유성을 획득하기 위해 각별한 노력들을 가속했었다. 그러나 지금의 대학은 전통을 고수하는 교육진이 거의 사라졌다. 따라서 다음 세대들은 과거와 다른 교육, 다른 미술 환경에 자연스레 놓이게 되었고, 이제 그 세대들은 자유로운 사고와 유연한 형식 실험을 체득한 채 동시대 미술계에 동양화라는 이름으로 속속 재등장하게 되었으며, 지금의 동양화는 동시대 미술문화와 긴밀한 관계를 가지고 있기 때문에 더 이상 동양화의 맥락에서 살필 수 없는 한계점도 나타났다.

그럼 왜 지금 동양화인가? 그 대답으로는 동양회화가 가지고 있는 형식적 특수함과 미감이라 할 수 있겠다. 문화는 기본적으로 공통성을 지향하지만 예술은 근본적으로 차별적이다. 미술이 타 예술 장르와 가장 큰 차별점이 있다면 그것은 아마도 시각적 형식일 것이다. 무언가를 드러내고 가시화하는 이 미술 형식은 이미 그 자체로 독특함과 차별성을 가지고 있다. 바로 이 지점에서 동양화는 여전히 무한히 열려있다. 미술 안에서 동양화는 다른 미술장르와 확연한 차이점을 갖고 있다. 표면을 일궈내는 표현 형식, 그로 인한 다른 미감, 주체와 대상의 동일시 등, 많은 미술사적 가치를 가지고 있다. 그러므로 동양미술사의 역사가 서양과 다르다 할지라도 미술이라는 큰 틀에서 다시 동양화를 바라보면, 주체가 대상을 시각화하는 그 근본 구조는 동서양의 거리는 없다고 말할 수 있다. 그러므로 우리는 서로의 역사에서 멀리 나와 그림의 표면과 주체의 관계를 상상하며 여타 회화를 감상하듯 동양화를 바라보면 좋겠다. 

동양화는 변화한다. 이제 우리의 동양화는 전통이 한곳에 머물지 않았던 것처럼, 정체성이 늘 변화하는 속성에 기인한 것처럼, 지금도 폭풍의 핵이 움직이는 속도로 변화한다. 이렇게 변화의 폭이 크고 명확한 지금 동양화의 현상을 짚어보는 전시 “아아! 동양화”를 마련한다. 더불어 손에 잡히지 않을 것 같은 동양화의 개념에 관한 여러 각도의 많은 논의가 이루어질 전망이다. ‘아아! 동양화’ 4부작 프로젝트는 전시 이외에 작가들의 인터뷰도 전시의 한 요소이며, 이 인터뷰를 묶어 책으로 출간할 계획이다. 작가들의 인터뷰는 개인이 타인과 같아질 수 없는 것처럼 다양함, 엇박자, 불협화음처럼 충돌의 장이 될 것이고, 바로 이 충돌이 일어나는 지점에서 우리는 동양화라는 것을 우회적으로 바라볼 수 있을 것이다.

첫 전시는 동양화를 전공했지만 동양화의 매체를 사용하지 않는 작가군의 전시이다. 이들에게 동양화는 무엇이고, 어떤 이유로 매체를 바꾸었으며, 개개인의 작품에서 동양화적 사유 혹은 동양화와 상관관계가 있는가를 살핀다. 또한 동양화와 어떠한 연관관계가 없다 하더라도 동양화 매체를 포기한 이야기 또한 살핀다.

두 번째 전시는 동양화 매체를 유지하고 있지만 전통회화와 다른 질서의 작업을 하는 작가군의 전시이다. 이들에게 전통은 무엇이며 왜 다른 형식으로 옮겨 갔는가를 살펴 동양회화와의 상관관계를 살펴본다.

세 번째 전시는 동양화를 전공하지 않았지만 동양화적인 작업을 하는 작가군이다. 이들은 어떤 이유로 동양화 요소를 이용하는지, 또한 본래 자신이 전공한 장르와 어떠한 차이와 공통적인 점이 있는지를 살핀다. 동시에 동양화 재료의 물성과 개념에 대해서도 이야기해본다. 

마지막 네 번째는 동양화를 전공했고 전통 동양화 매체로 전통 동양화 작업을 하는 작가군 의 전시이다. 전통동양화 그대로의 전시이며, 산수화, 문인화, 채색화 등의 작가군의 전시이다. 동양화의 근본적인 질문들, 전통과 현대에 관해 이야기를 나눈다. 또한 동시대에서 동양화의 나아갈 길을, 현대미술 속에서 동양화의 역할 등의 이야기를 나누어 본다.

이 네 번의 전시는 서로 다른 성격의 것으로 어떻게 보면 동양화의 현재적 스펙트럼이라 할 수 있다. 또한 동양화적 개념을 차이와 동질감으로 몰아넣을 것이다. 동양화의 한계, 동양화의 가능성 등이 자연스럽게 돌출될 것이며, 그 충돌과 같음의 반복은 동양화의 현재를 드러낼 것이다. 더불어 미술의 태생인 매체와 개념이 어떻게 파생되고, 어떻게 변화하는가를 동시에 드러내는 전시가 될 것이다. 

끝으로 조선미술전람회(1922-1944) 에서 동양화가 처음 불리고 이후 ‘한국화’라는 칭호가 혼용되어 사용되어 왔지만 “아아! 동양화 4부작 프로젝트”에서는 극동아시아 3국(한국, 중국, 일본)의 공통된 미술 양식으로 묶인 상징 언어로써 동양화라는 명칭을 사용하였다. 각국의 정서와 개별 특이성들은 모두 다르겠지만 보다 넓은 의미인 미술 양식의 동질성, 그리고 서로의 영향 관계를 하나의 언어로 묶어 동양화라 칭했다.
글 | 이정배

* 본 전시는 ‘예술지원 매칭펀드’의 지원을 받았습니다.
해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다.
1688-2220
",2022. 7. 7.~2022. 9. 25.,파주 | 아트센터 화이트블럭
20220927060004,*c-lab 6.0 프로젝트 X 안가영 <우주 감각: 미래 인류를 위한 XR 시뮬레이션>,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1661131192843.jpg,"
전시소개

코리아나미술관은 문화체육관광부와 (재)예술경영지원센터가 함께하는 ‘2022 미술주간’ 특별 프로그램으로 <우주 감각: 미래 인류를 위한 XR 시뮬레이션>을 9월 1일부터 9월 24일까지 약 3주간 개최합니다.

코리아나미술관의 연구 프로젝트 *c-lab 6.0의 일환으로 진행되는 안가영 작가의 <우주 감각: 미래 인류를 위한 XR 시뮬레이션>은 온라인에서 진행되는 <외계 공진화 테스트>와 오프라인  XR(혼합현실) 기술을 활용한 체험 전시로 구성됩니다. 

온라인 프로그램 <외계 공진화 테스트>에서는 참여자의 기술 의존도를 묻는 간단한 설문을 통해 총 16개의 더미 캐릭터 중 자신의 유형이 반영된 1개의 캐릭터를 부여 받게 됩니다.

오프라인 프로그램에서 관람객은 코리아나미술관 2층에 조성된 체험 스테이션에서 직접 VR 기기를 착용하고, 지구와 유사한 행성 ‘히온’에 이주한 미래종에 대한 작가의 스토리텔링을 따라가며 XR 퍼포먼스에 참여할 수 있습니다. 이를 통해 스스로 자신과 타자, 사물, 그리고 세계와 공진화하기 위해 얼마나 준비가 되었는지 질문해보고 사유할 수 있는 기회를 가집니다. 
  
「2022 미술주간 ’예술+기술’ 관람객 체험형 프로그램 운영」 공모를 통해 선정된 코리아나미술관 *c-lab의 <우주 감각: 미래 인류를 위한 XR 시뮬레이션>은 미술주간 공식인증행사로 누구나 사전 예약을 통해 무료로 참여할 수 있는 관람객 참여 프로그램입니다. (회차당 1인 참여 가능)
해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다.
1688-2220
",2022. 9. 1.~2022. 9. 24.,서울 | 코리아나미술관
20220927060005,누구의 낙서인가,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1661995984242.jpg,"
전시소개

최근 기계는 효율성과 정확도를 위한 단순한 도구를 넘어 인간 고유의 영역으로 들어오고 있다. ‘휴머노이드 오브젝트’는 인간의 무의식적인 행동 중 하나인 ‘낙서’를 하는 기계이다. 낙서는 인간의 감정과 사상을 드러내는 아주 은밀한 자기표현 수단이다. 작가는 인간만이 할 수 있다고 간주되는 ‘낙서’를 기계가 모방하게 만들었다. 이와 같은 모습을 통해 작가는 “일상생활에서 우리가 기계를 인격체로서 받아들일 수 있을까?”라는 질문을 던지며 기계와 함께 사는 삶에 대한 담론을 제시한다.

이번 전시는 휴머노이드 오브젝트 프로젝트 중 <Humanoid Object #3>, <This is ( ). This is not ( ).> 시리즈의 새로운 작품 <또 다른 얼굴>을 선보인다. <Humanoid Object #3>은 기계가 AI를 통해 낙서를 생성하고 그려나가는 모습을 표현한다. <This is ( ). This is not ( ).> 시리즈는기계가써내려간낙서와작가의낙서를재조합한드로잉으로, AI기술을 활용하여 키워드에 따라 낙서(이미지, 텍스트)가 생성된다. 각각의 낙서는 모두 독특한 형태를 지니고 있다. 이것을 조합하여 기계가 작업을 완성하고 작가는 그 위에 낙서를 함으로써 작품이 완성된다. <또 다른 얼굴>은 얼굴이라는 키워드를 통해 생성된 낙서를 바탕으로 제작된 드로잉 작품이다.
해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다.
1688-2220
",2022. 9. 2.~2022. 9. 21.,서울 | 을지예술센터
20220927060006,자이언트 위스퍼 Giant Whisper,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1661993428686.jpg,"
전시소개
해양 생물은 빛이 부족하지만 소리 전달이 잘 되는 바다에 적응하기 위해 먹이 사냥, 의사소통, 다른 생물과 지역을 탐지하는 일에 소리를 전적으로 사용한다. 인간의 손길이 닿지 않던 바다는 해양 생물에게 소리를 기반한 생활의 매개 그 자체였으나 인간이 바다에 개입하기 시작하면서 바다라는 공간은 전혀 다른 양상을 띠게 된다.
<Giant Whisper>는 해양 자연 본연과 인간 활동, 기술이 중첩된 공간으로서의 바다를 보여주며 자연과 인간의 복합적인 관계를 드러낸다. 복도에서는 해양 생물 소리의 주파수 분포가 인쇄물로 보여지고, 메인 전시 공간에서는 전 세계 선박의 이동 경로가 실시간으로 시각화되어 있는 동시에 해양 동물의 울음소리가 공간을 메운다. 또 다른 공간에서는 시각화된 해양 동물의 소리가 모니터에 송출된다. 전시는 바닷물과 해양 생물, 소리, 선박, 음향 탐지 기술이 결합된 바다를 입체적으로 보여주며 새로운 관계 맺기를 제안한다.
해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다.
1688-2220
",2022. 9. 2.~2022. 9. 21.,서울 | 을지예술센터
20220927060007,한국문화센터 연합회 작품전,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1663201531878.jpg,"
전시소개

가을의 문턱에서 한국문화센터가 전시회 '美'를 개최하게 되었습니다.
본 전시는 세계적인 코로나 팬데믹이라는 계속된 어려움을 이겨내고 위드코로나 시대를 위한  간절한 염원을 담고자 연합회 지부장과 강사가 중심이 되어 각자의 개성을 지닌 작품을 선보이게 되었습니다.
작품 하나하나마다 진정한 한국문화센터의 공예가로서 다양한 주제와 방법으로 예술가적 혼을 담아 선보이는 만큼 작가와 관람객 모두에게 더한 감동으로 다가가리라 기대합니다.
해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다.
1688-2220
",2022. 9. 14.~2022. 9. 19.,서울 | KCDF갤러리
20220927060008,story image,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1663201379522.jpg,"
전시소개

* 코로나19로 별도의 오프닝행사는 없습니다.
* 주차는 인근 공용주차장 이용을 부탁드립니다.
해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다.
1688-2220
",2022. 9. 14.~2022. 9. 19.,서울 | KCDF갤러리
20220927060009,이지원 : DRAWER,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1663117429674.jpg,"
전시소개

서랍장에 쌓여 있는 수많은 스케치북과 아이디어들. 그 첫 번째 서랍을 열어봅니다.
이 전시는 때로는 밝고, 때로는 어둡고, 어떨 때는 우스꽝스럽기도 한 커다란 세상을 상상의 프리즘을 통과시켜 작은 종이 위에 보여드립니다. 낙서처럼 투박하고 러프한 그림들을 통해 작은 웃음, 많은 생각을 얻어가시길 기대합니다.
해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다.
1688-2220
",2022. 9. 17.~2022. 9. 18.,서울 | 갤러리 지하
