exhibition_id,exhibition_name,poster_link,exhibition_description,exhibition_period,exhibition_place
20220927050000,서도호와 아이들: 아트랜드,https://sema.seoul.go.kr/common/imageView?thumbYn=Y&FILE_PATH=%2Fex%2FEXI01%2F2022%2F&FILE_NM=20220711134427_c944bbfacb7c4dfb9ba994411f13679c_ae05febab72349428eaa56af86608720,서울시립 북서울 미술관은 서도호 작가와 함께 처음으로 어린이 관객들이 직접 작품의 창작에 참가하는 어린이 참여형 전시회를 개최합니다 이번 전시에서 서도호 작가는 년 동안 런던의 집에서 두 아이들과 함께 어린이용 모형 점토로 만든 복잡하고 환상적인 생태계 아트랜드 를 선보입니다 아트랜드에는 다양한 종류의 식물과 동물이 살고 있으며 그곳만의 독특한 기후와 토양은 이곳의 생물들에게 지구와는 다른 생장 주기와 성장 조건을 가져다 주었습니다 작가는 전시장을 방문하는 어린이 관람객들에게 적극적으로 아트랜드의 제작과 확장에 참여해 줄 것을 요청합니다 재활용 용기의 사용을 포함해서 작가와 그의 가족이 만들어 놓은 기초 토대를 기반으로 참가자들은 자신들의 상상력 뿐 아니라 아트랜드의 다양한 생물종에 근거하여 새로운 요소들을 아트랜드에 자유롭게 덧붙일 수 있습니다 그 과정에서 어린이들은 일상의 활동이 예술이 되는 특별한 경험을 가슴속 깊이 간직하게 될 것입니다 이 전시에는 아트랜드의 활동들을 소개하는 워크북과 작가의 가족이 제작한 실제 아트랜드를 로 연출하여 공중샷으로 찍은 비디오가 포함되어 있습니다 서울시립 북서울미술관 어린이전시 서도호와 아이들 아트랜드 참여 방법 안내 서도호와 아이들 아트랜드 는 월부터 현장접수를 통해 참여가 가능합니다 효과적 참여와 안전한 전시 환경을 위하여 전시장의 참여 관람객 현장접수를 시간당 팀 최대 명 으로 제한합니다 서도호와 아이들 아트랜드 는 월까지는 전시장 클레이 체험을 위해 예약 후 참여 부탁드립니다 예약하기 클레이 체험이 아닌 관람은 예약 없이 그대로 진행되오니 전시장에 동일하게 방문 부탁드립니다 아트랜드 건설에 참여해 주세요 가정에서 재활용품을 하나씩 챙겨와 주세요 아트랜드 구조물 설계에 도움이 됩니다 예시 세척된 페트병 등,2022/07/26~2023/03/12,서울시립 북서울미술관
20220927050001,제12회 서울미디어시티비엔날레 사전프로그램 《정거장》,https://sema.seoul.go.kr/common/imageView?thumbYn=Y&FILE_PATH=%2Fex%2FEXI01%2F2022%2F&FILE_NM=20220720173437_d01ca86c08f244dc8aa669b3c08d6ec2_e61d06b331e640479fec0ca362bd6427,제 회 서울미디어시티 새창열림 비엔날레 사전프로그램 정거장 은 서울미디어시티비엔날레 년 역사의 소장 자원과 함께 한국 미술사에서 있었던 미디어 실천과 실험을 다시 읽고 새창열림 미디어아트 에 관한 인식을 경험적 차원에서 살펴보고자 마련되었습니다 년 미디어 시티 서울 이라는 이름으로 시작했던 서울미디어시티비엔날레 는 서울의 다양한 장소에서 전시와 프로그램을 소개해 왔습니다 국내외 여러 비엔날레가 저마다의 규모 전통 권위나 특색으로 한 세기가 넘는 현대미술사 맥락을 형성해 왔다면 그 중에서 서울미디어시티비엔날레 는 서울시립미술관의 대표 국제전으로 계속해서 변화하는 미디어와 도시에 공명하며 당대의 미술 실험과 생산장을 마련해왔습니다 이러한 비엔날레의 정체성을 거슬러 올라가면 년부터 년까지 세 번 개최되었던 도시와 영상 전시와 만나게 됩니다 당시는 서울시립미술관이 서울시 산하에서 외부 협회나 단체가 주관하는 전시를 관리하는 문화시설운영사업소로 존재하던 때입니다 년 서울시는 년 전 조선 건국과 함께 서울이 수도가 된 도시의 역사를 기념하는 대대적인 행사를 계획하면서 서울 년기념관을 개관했습니다 이후 공간의 관리 주체를 서울시립미술관으로 이관하면서 서울 년기념관에서는 미술관이 주관하는 전시가 정기적으로 열리게 됩니다 제 회 도시와 영상 는 회화 서예나 조각으로 상징되는 올드 미디어만이 아니라 비디오 설치 그래픽 영화 애니메이션처럼 당대의 새로운 매체를 통해 시대에 조응하는 예술 그리고 그런 예술을 일상의 차원에서 보자는 생각이 중심에 있었습니다 기존의 예술 감상 경로를 벗어나 전시 공간의 안팎에 범람하는 현대 이미지들 사이에 예술 이미지가 끼어드는 프로젝트의 구성은 당시로선 파격적인 시도였습니다 이렇게 출발한 고유의 실험 정신은 이후 년마다 개최되는 비엔날레라는 형식을 갖추면서 에디션마다 미학적이면서 제도적인 공동의 경험을 쌓아가게 되었습니다 년을 아우르는 서울미디어시티비엔날레 의 서사는 자연스럽게 미디어아트 연구로 이어집니다 이번 사전프로그램은 연결된 지역 비물질적 자원 자생적인 제도라는 조건들이 톱니바퀴처럼 맞물려 돌아가는 서울미디어시티비엔날레 의 이상적인 운영 방식을 테스트하는 프로토콜과도 같습니다 여기 또 하나의 미디어로 제시되는 제 회 서울미디어시티비엔날레 사전프로그램 정거장 은 지금 이곳에서 미적 참여와 생산을 위해 잠시 머무르는 장소가 될 것입니다 서울미디어시티비엔날레 의 지난 역사를 기록하는 작품들과 현재 진행중인 활동을 보는 뜻 깊은 자리에 많은 관심과 참여 바랍니다 협력공간 시민청 라운드앤드와 루이스의 사물들 중구 서울기록원 은평구 미도파 커피하우스 서대문구 오브젝트 홍대점과 콜로라도 프로젝트 마포구 오잇 용산구 다락에서 소개하는 홍철기의 가벽 과 둥근 규철의 안쪽 은 사전 예약을 통해 관람하실 수 있습니다 매주 토요일 전시장에서 전유진의 코드 밀 키트 와 안데스의 지질학적 테크노 땅의 비트를 들어라 프로그램이 운영됩니다 자세한 내용과 참여 신청은 프로그램 웹사이트에서 확인해주세요 코드 밀 키트 지질학적 테크노 땅의 비트를 들어라 전시 도슨트의 해설은 매주 금 토 일요일 오후 시에 있습니다 사진 정보 제 회 서울미디어시티비엔날레 사전프로그램 정거장 서울시립 남서울미술관 전시 기록 사진 이의록,2022/07/21~2023/01/29,"서울시립 남서울미술관, 서울시립 남서울미술관 및"
20220927050002,춤추는 낱말,https://sema.seoul.go.kr/common/imageView?thumbYn=Y&FILE_PATH=%2Fex%2FEXI01%2F2022%2F&FILE_NM=20220713095805_d9736bdb638740e9bcec0eeb340924f5_dbe8a343a8134d38873be072423978ac,지옥은 타임라인에 있다 조금만 더 시간을 주세요 나는 마법의 방패를 걸치려 하네 우리는 우리 자리를 잘 지키고 있습니다 함께할 때 우리는 다수가 된다 다정한 세계가 있는 것처럼 여기 한 편의 시가 있습니다 사실 이 시는 앞으로 여러분이 경험할 전시 춤추는 낱말 에 등장하는 작품에서 발췌하거나 작품과 연관하여 생산된 작가의 말을 선별하여 재배열한 것입니다 이 시는 각 작품이 만들어진 당시의 맥락을 함축하는 동시에 서로 다른 맥락의 시공이 교차하는 세계를 그리고 있습니다 이 시를 어떻게 누릴 것인가는 여러분이 발 디딘 곳의 사회적 분위기나 사적인 감정에 따라 달라질 것입니다 그리고 일정 부분 우리가 공감할 수 있는 어떤 장면이나 공동의 정서를 낳을 수도 있습니다 시어가 품은 미묘한 정서와 다양한 사유는 우리 생각을 확장시키고 나아가 집단적인 무 의식과 감각 생동하는 힘을 만들기도 합니다 춤추는 낱말 은 년 서울시립미술관의 전시 의제인 시 를 성찰하며 전시를 한 편의 시로서 창작자들의 실천을 공동의 심상 정동 을 자아내는 시어로 바라볼 것을 제안합니다 그리고 그 실천의 언어가 일렁이는 담론의 장이자 표현성의 영역으로서 아시아 를 바라봅니다 따라서 이번 전시는 군중의 노래이자 저항의 언어로서 시의 속성을 아시아에 기반을 두고 혹은 아시아를 둘러싼 논의에 천착해 온 창작자들의 실천에 포개어 봅니다 동시다발적으로 펼쳐진 아시아의 정치 사회 문화 운동 및 현상을 관찰하고 이에 대해 쓰고 말하는 창작자들의 실천을 통해 오늘의 아시아에서 공동의 의식과 감각이 어떻게 구성되고 어떤 모습으로 발현되는지 다각도로 살핍니다 총 명 팀의 작가 기획자 연구자 음악가의 실천이 펼쳐지는 이번 전시는 하나의 보편적인 지역 정체성을 규명하거나 동시대의 현상을 재현하기보다는 운동 속에 내재된 풍토적인 경험과 특질의 차이를 살피며 그것이 담지하는 아시아적인 사유와 성찰이 무엇인지 유추해 봅니다 식민 독재 개발 등 동시대 아시아에 여전히 남은 역사의 힘을 꿰뚫고 이미지와 사물의 기표로 담아낸 실천들은 수면 아래 놓인 현실의 균열을 감지하고 이에 대항할 언어가 되어 돌아옵니다 현실의 감각과 공동의 심상을 촉매하는 이들의 언어는 동시대 집단 운동의 양상과 방법을 은유하기도 하고 실제로 일시적인 공동의 경험을 모의하기도 합니다 연결됨 과 함께함 에 바탕을 둔 운동들의 개별 양상은 국경을 넘고 서로를 일으켜 세우며 우리로 하여금 이전과 다른 의미의 개인 과 집단 을 발견하게 할 것입니다 나아가 전시는 창작자들의 실천이 정동의 언어로서 현실에 어떤 효과를 만들어 낼 수 있는지 그 가능성을 실험하는 사건의 현장이기를 자처합니다 연결 과 접촉 을 시도하는 장소이자 프로그램인 접근접 을 마련하여 다양한 행동과 사건을 통해 함께함의 감각과 연결의 경험을 모의해 봅니다 이곳에서 여러분은 재현된 공동과 연대의 모습이 아닌 동시적인 경험과 성찰로서의 공동체를 경험하게 됩니다 시가 쓰이고 읽히고 확산되어 노래가 되면서 다수의 의식을 잇는 언어가 되듯이 이 전시가 감각적이고 정서적인 경험으로써 우리 안에 일시적이나마 공동의 감각을 일으킬 수 있기를 바랍니다 함께한다는 것 우리가 공동의 무엇을 도모한다는 것이 어떤 의미인지 다시 질문해 보는 계기가 되기를 기대합니다,2022/09/01~2022/11/20,서울시립미술관 서소문본관
20220927050003,2022 신진미술인 전시지원 프로그램,https://sema.seoul.go.kr/common/imageView?thumbYn=Y&FILE_PATH=%2Fex%2FEXI01%2F2022%2F&FILE_NM=20220629141941_2d967fedcb744aa0a69daf00c8f77499_9bf494ebcc3341099b68e1e99bddf412,신진미술인 전시 지원 프로그램 은 역량 있는 신진미술인을 지원하기 위해 년부터 전시장소와 전시지원금 학예인력 매칭을 통해 멘토링을 제공해온 서울시립미술관의 지원 양성 프로그램입니다 년 까지 작가 여 명을 지원하다가 년 부터는 기획자로까지 지원 대상을 확대하여 운영하고 있습니다 프로그램 개설 이래로 총 명의 작가 및 기획자가 선정되었으며 참여 이후 활발한 예술 활동을 개진해나가고 있습니다 년부터는 전시 운영 및 홍보 지원을 확대하여 신진미술인들의 전시 진행과 향후 활동에 실질적 기반을 마련할 수 있도록 프로그램을 개편했습니다 년 월 심사를 통해 김정인 김신애 박웅규 송아리 안진균 임선구 전장연 작가와 김현주 문현정 기획자가 최종 선정되었습니다 선정된 명의 신진미술인 전시는 월부터 창고 벙커 보안 아트스페이스 보안 에서 순차적으로 개최됩니다,2022/07/06~2022/11/20,"SeMA 벙커, SeMA 창고, 보안1942 아트스페이스 보안1"
20220927050004,2022 시민큐레이터 기획전시,https://sema.seoul.go.kr/common/imageView?thumbYn=Y&FILE_PATH=%2Fex%2FEXI01%2F2022%2F&FILE_NM=20220917194104_573cca0ea37a45b09adc79c3be903c7c_29fd9fceb044464b8aa9e808c8327333,서울시립미술관 시민큐레이터 프로그램은 미술과 전시기획에 관심이 있는 일반 시민을 대상으로 양성교육을 진행하고 전시 기획과 운영의 기회를 제공합니다 년부터 시작하여 올해로 회를 맞이한 시민큐레이터 프로그램은 어느덧 익숙해져 버린 펜데믹과 급변하는 시대 속에서도 시민과 미술 문화를 이어주는 플랫폼으로 자리매김하고 있습니다 올봄과 여름 시민큐레이터 인은 양성교육을 수료하고 기획안 선정과 워크숍 과정을 거쳐 전시를 준비했습니다 주체적인 미술문화 생산자로서 이들이 힘껏 기획한 전시가 이제 서울시립미술관 분관 벙커와 창고에서 선보입니다 시민 모두에게 열린 프로그램으로 기획된 만큼 각 전시 마다 개성 있는 목소리가 담겼습니다 올가을 서로 다른 목소리가 들려주는 여러 이야기를 자신 만의 특별한 관심사로 연결해보는 것은 어떨까요,2022/09/20~2022/11/16,"SeMA 벙커, SeMA 창고"
20220927050005,정서영 개인전 오늘 본 것,https://sema.seoul.go.kr/common/imageView?thumbYn=Y&FILE_PATH=%2Fex%2FEXI01%2F2022%2F&FILE_NM=20220829133512_a0b396b6c55449929893d6c37f49ac79_f55039e50010453abe38f3dae38a5d06,새창열림 정서영 개인전 오늘 본 것 오늘 본 것 은 조각가 정서영 의 개인전으로 년부터 제작 발표한 주요 작품들과 신작 점을 포함한 총 점을 선보인다 한국 현대미술이 다양성과 개별성을 획득한 시기로 일컬어지는 년대에 현대 조각의 동시대성을 견인한 작가로 평가되는 정서영은 현재까지 조각을 포함한 드로잉 사운드 영상 새창열림 퍼포먼스 등 다양한 매체와 영역에서 유연하게 조각의 문제를 다루는 예술적 실험을 지속해 오고 있다 오늘 본 것 은 작가가 매일 본 것 중 색상 질감 동세 부분 등에서 무엇이라고 규정할 수 없는 인상적인 상태를 적어 두는 지난 몇 년의 습관을 전시 제목으로 삼은 것이다 이처럼 오늘 본 것 은 작가의 단상 노트 제목이면서 동시에 우리가 본 것들이 세계를 인식하는 물리적 경로이며 세상과 관계 맺는 장이라는 정서영의 조형인식을 나타낸다 정서영은 조각을 고정된 물체 너머 유동적인 양상을 드러내는 일종의 관계적 플랫폼 으로 생각한다 하나의 형 으로 이뤄지기까지 서로 영향을 주고받는 다양하고 복잡한 각각의 요소는 움직이고 흐르고 생겼다가 사라졌다 다시 나타나기도 한다 이런 요소는 스치는 생각이나 감정 행위 사물 상황 등에서의 유무형적 편린으로서 나 사물 세계 의 광범위한 스펙트럼에서 유동적이고 독립적으로 산재한다 조각적 순간 은 이들 각각이 찰나적으로 같은 시공간을 공유하고 관계를 맺어 모습을 드러내는 순간을 의미하며 이때 조각은 발생하게 된다 전시 초입에 배치된 작품 점은 작가의 예술적 세계관과 문제의식이 고스란히 드러나는 초기작들로 전망대 는 사물에 대해 알려진 사실 믿음에 대한 합의를 깨는 작가의 태도가 파도 는 동적 또는 무형의 것을 새창열림 조형예술 적으로 포섭하려는 시도가 나타난다 작가가 작품의 제목이나 텍스트 드로잉 형태로 사용하는 특유의 언어 또한 자율적이고 독자적인 요소로서 각 요소 간 충돌 갈등 선택 소멸의 과정을 거치며 그 맥락을 한층 다면화한다 어 에서는 망설임 놀라움 등 여러 해석이 가능한 어 라는 글자 하나를 그려 넣어 열린 가능성을 암시한다 조각적 순간 의 발현을 기다리고 궁구하는 치밀하고 복잡다단한 과정과는 별개로 작가의 조각은 일견 특별하지 않은 재료의 단순한 조합으로 보인다 하지만 생각은 세밀하게 그러나 보여 주기는 멍청하게 라는 그의 말처럼 작가의 작품에서 그저 그렇게 보이는 간단하고 일상적인 요소들은 오히려 다층적인 의미 분화를 파생하고 듬성듬성 발생하는 공백은 역설적으로 더 풍부한 함의의 여지를 갖게 한다 본 전시에서도 헝겊 스펀지 카펫 플라스틱 고무 등 일상적인 재료가 간결한 외형으로 공간의 여백과 어우러져 작가 작업의 고유한 속성을 보여 준다 지난 여 년간 작가가 선택한 사물의 위상은 변화하였다 일부 재료는 단종되기도 하였고 빛 소리 문자 등은 새롭게 채택되어 조각 영역의 확장을 이루었다 신작에서는 브론즈 스테인리스 철사 등 전통적인 재료를 사용하는데 이는 고전의 재해석이라는 측면에서 또 다른 확장이 진행 중이라고 할 수 있다 더욱 흥미로운 점은 작품들의 배치 방식이다 대표작들이 시대순을 따르지 않고 자리하는데 작품이 등장하면서 엮어지는 모든 연관성을 중시하는 작가의 특성상 작품 간 작품과 그것이 놓인 위치 간 관계성이 이번 전시에서 새롭게 형성되어 제시된다 그중에서 중앙부에 위치한 신작 뇌 속의 뼈 는 간결한 직선 형태의 브론즈가 이어지고 갈래 쳐 뻗어나는 형상으로 이번 전시에서 구심점 역할을 하고 있다 이 조각에서는 유동적 요소들이 일순간 일맥관통 하여 뼈대와 같은 형을 갖추는 순간이 연상되며 나아가 전시 공간 전체를 아우르는 느낌이 있어 정서영의 조각 세계를 대표할 만한 작품이 될 것으로 기대한다 언제부터인가 우리 삶은 유튜브 인스타그램과 같은 에 잠식당하고 있다 무엇을 보고 어떤 경험을 하는지는 순간적인 이미지나 영상 형태로 표현되고 좋아요와 하트처럼 타인의 반응에 의해 행동과 심리가 좌우된다 오늘날 예술 작품을 대하는 자세도 이와 다를 바 없다 주가 되어야 할 작품은 눈으로 직접 체감되기 보다 카메라의 일시적인 대상으로 전락하였고 감상은 주변의 평에 지배된다 정서영의 작품은 전술한 바와 같이 간략한 형태로 표현되어 함축적이고 직관적인데 이는 이해에 있어 다소 불편함을 야기하여 글로 풀어쓴 설명에 의존하기 쉽다 이에 대해 작가는 작품이 내포하는 복합성을 경험하는 통로가 하나가 아니 기에 작품의 의미를 바라는 것 자체가 장벽이 될 수 있어 작품의 가장 중요한 목격자인 자기 자신을 믿었으면 좋겠다 라고 한다 전시 말미에 있는 세계 는 유토로 캐스팅된 호두 조각을 둘러싼 빛 사운드 등이 미세하게 변화하는 과정을 여 분간 관찰하는 영상 작품으로 어떤 것을 오랜 시간 집중해서 보는 문제를 다룬다 사실 조각적 순간 은 순식간이지만 그때를 포착하고 이해하기 위해 작가는 오랫동안 사물을 유심히 관찰한다 이에 반해 우리가 작품과 소통하기 위해 들인 시간과 정성은 어느 정도일까 전시 제목인 오늘 본 것 은 다른 것에 얽매이지 말고 오롯이 작품을 보라 는 작가의 짧고 굵은 당부일지 모른다 사물을 조감도처럼 들여다보면 그 안에 설정된 관계 유형들의 움직임이 보인다 그것이 복잡해 보이는 이유는 시간의 흐름에 따라 가지 쳐지고 덧붙여진 의미들이 서로 작용하기 때문이다 그 작용들의 연결고리를 흐트러뜨리면 간단한 단위들이 나타나고 그 단위들 중 일상적인 복합성을 포함하는 것들을 골라 또 다른 경험의 조건을 만들어 가는 것이 나의 조각이다 정서영 서울시립미술관 새창열림 이승아 큐레이터 참고문헌 김정란 사물들과의 조금 까끌까끌한 움직이는 관계 조심스럽고 사랑스러운 불안 금호갤러리 정서영 개인전 금호갤러리 김현진 스스로 빛나고 진동하는 사물과 언어 아트인컬처 년 월 장지한 그것이 그곳에서 그때 김범과 정서영의 글과 드로잉 장지한 엮고 씀 미디어버스 정서영 바라캇 컨템포러리와의 인터뷰 바라캇 컨템포러리 년 월 일 정서영 사물에의 가담과 투사에 의한 조각 작품 제작 연구 석사학위논문 서울대학교 새창열림 홍순명 철저함과 허술함의 공존 월간미술 년 월 의 정서영 인터뷰 큰 것 작은 것 넓적한 것의 속도 현실문화,2022/09/01~2022/11/13,서울시립미술관 서소문본관
20220927050006,2022 서울시립 사진미술관 사전프로그램 《정착세계》,https://sema.seoul.go.kr/common/imageView?thumbYn=Y&FILE_PATH=%2Fex%2FEXI01%2F2022%2F&FILE_NM=20220919171611_c3f0156d8dc7423fa8021a1e42e6105b_727d3790720a465da1a2a5bf3890f09a,서울시립 사진미술관은 서울시립미술관의 분관이자 한국 최초의 사진전문 공공미술관으로 년 개관을 목표로 건립 중입니다 균형 잡힌 한국사진사를 정립하고 빠르게 변화하는 사진 매체의 특성에 유연하게 대응하며 전문성과 대중성 국제성과 지역성을 포괄하는 미술관을 지향합니다 서울시립 사진미술관은 개관에 앞서 매년 사전프로그램을 통해 건립 과정을 공유하며 미술관의 역할과 기능에 대해 질문하고 있습니다 나아가 한국 사진 미술관이라는 지역 매체 위상적 특수성이 조화롭게 연결될 가능성을 모색합니다 년 서울시립 사진미술관 사전프로그램 정착세계 는 사진미술관의 주요 소장품 년대 과 동시대 작품 년대 을 함께 소개합니다 과거와 현재를 매개하면서 사진으로 발화해 온 사진가들의 목소리에 귀 기울여 봅니다 정착세계 는 수집 과정에서 제기된 몇 가지 질문을 계기로 시작되었습니다 정착 은 사진 현상 인화 과정에서 이미지를 지지체에 안착시키는 광화학적 단계를 가리키는 기술 용어입니다 정착세계 는 작가가 경험하고 지각한 것이 이미지화되는 과정을 가리키는 단어로 정착 의 의미를 확장합니다 크게 세 섹션으로 구성되는 이번 사전프로그램은 작품을 통해 아날로그에서 디지털에 이르는 기술과 매체 환경의 변화가 야기한 사진 매체의 다양성과 이질성에 주목합니다 이를 통해 한국사진사 와 미술관 에서 재맥락화되는 사진의 의미와 역할을 고민하는 계기가 되기를 바랍니다 성두경 정희섭 새창열림 김익현 새창열림 김천수 김박현정 새창열림 김옥선 임향자 새창열림 전명은 새창열림 정영자 이형록 조현두 박희자 새창열림 황규태 오연진 이재욱 주용성 새창열림 정정호 새창열림 홍순태 김동희 김효연 임인식 홍진훤,2022/09/06~2022/10/21,서울시립 북서울미술관
20220927050007,[2022 시민큐레이터 기획전시]  《삼원소(Back to square one)》,https://sema.seoul.go.kr/common/imageView?thumbYn=Y&FILE_PATH=%2Fex%2FEXI01%2F2022%2F&FILE_NM=20220922152222_26fbc031113c43629110f6ef0adf096b_9c6d79ec23154e53bceb449d5090e252,점에서 선으로 선이 모여 하나의 공간이라는 도형을 만들어 지듯이 우리가 살고 있는 세상도 삼원소 천지인 하에서 형성되어 아주 오래전부터 삼 요소가 어느 한 쪽으로 치우침 없이 균형감을 유지하며 발전을 해왔습니다 그러나 인간의 발명품 중 하나인 기술이 그 어느 시대보다 독보적인 발전을 이룩하며 오히려 불완전성의 세계가 되어버렸습니다 여기서 말하는 불완전성 이란 숫자 에서 하나가 빠진 로 본인은 이를 이분화하려는 경향으로 연결시켜보았습니다 과 로만 수렴해버리는 디지털 체제처럼 모든 것을 이해하는 태도가 점점 강해지면서 과 에 수렴 정의 할 수 없는 것들은 이해 범주에서 제외되곤 합니다 까지 숫자의 양태를 하나하나 살펴보면 대부분의 숫자들과 달리 숫자 만큼은 막혀있지도 않고 위 아래 중간 모든 방향으로 뻗어나가고 있음을 볼 수 있습니다 여기서 숫자 갖고 있는 확장성과 개방성이라는 구조적 특성에서 현 세태 즉 어떠한 대상에 대해 다각도적인 접근 방식보단 이것 저것 예 아니오 등 모든 것을 두 가지로 내로 단순화해 판단해버리려는 경향을 삼원소를 통해 집어보고자 합니다 이 과정 속에서 만연한 이원적 세계관의 틈새를 내어 확장해 볼 수 있는 가능성을 모색해 볼 수 있지 않을까요 본 전시에 수반되는 모든 행위는 에 수렴한다 숫자 의 선이 곡선의 형태를 띄며 위 중간 아래로의 자유자재 이동이 가능하듯 위계적 구조 하에서 자행되는 세태라는 꼭대기에서 처음으로 다시 내려가 이를 재고해보려 합니다 위계적 구조 하에서 파생된 많은 기준과 규칙 그리고 규범들은 보편성 에 국한되어버렸고 해당 기준 하에 해석 판단될 수 없는 것은 보편적이지 않다 는 이유로 배제되거나 오명 씌워져버렸습니다 처음으로 다시 돌아감 의 행위에 해당되는 본 전시는 보편성 이라는 범주에서 배제된 것들을 돌아보고 그들 사이의 유기적 관계 맺기 시도를 통해 기존의 관념 혹은 정의와는 다른 의미들을 파생시켜보고자 합니다 과연 그 의미들은 어떠한 형태로 우리 눈앞에 현현할 것이며 얼마나 다양한 방식들로 메시지를 읽을 수 있을까요 안데스 배규무 새창열림 임영주 이수진 새창열림 박정혜 는 천 지 인의 요소를 내포함과 동시에 만물의 과거 현재 미래를 담아내고 있습니다 인의 작가는 일상세계에서 우리 눈으로 보이지 않지만 분명히 존재하는 구멍과 틈을 포착해 이를 좁혀 나가기 가 아닌 오히려 넓히기 를 추구합니다 서로 다른 매체들이 전시 공간 안에서 서로 얽히고 합쳐져 또 다른 의미로 읽힘은 물론 각 매체들의 고유의 감각 그리고 그것들이 공유하는 보편적 감각들을 뒤섞음으로서 또 다른 하나의 움직임이자 감각으로 형성 될 수 있길 바랍니다,2022/09/20~2022/10/05,SeMA 벙커
20220927050008,[2022 시민큐레이터 기획전시]  《사유하다》: 다시 나라는 시간을 거쳐,https://sema.seoul.go.kr/common/imageView?thumbYn=Y&FILE_PATH=%2Fex%2FEXI01%2F2022%2F&FILE_NM=20220921153612_ea5e42079eb544e9b5f3b5b09a069a21_a434b534d9fc44b58c860ee0b70cdab9,사유하다 는 대상을 두루 생각하는 일 개념 구성 판단 추리 따위를 행하는 인간의 이성작용 이라는 뜻의 단어 사유 의 파생어로 작품세계를 이해하는 것에서 나아가 이를 내면화하여 관람객 즉 보는 이가 무엇을 사유했는지 다양한 관점과 해석의 가능성에 주목하고자 하는 전시 의도를 함축합니다 우리는 과거 현재 미래라는 요소 속에서 생기는 시간의 연속성에 영향을 받으며 살고 있습니다 시간은 필연적으로 흘러가는 것을 기반으로 하기에 이를 한눈에 담을 수 없지만 사유하다 는 작품을 통해 잠시나마 전경을 볼 수 있다고 여깁니다 이번 전시는 시간의 연속성에서 생기는 각 시점 간의 상호 관계에 주목하며 그에 영향 받은 나 에 대한 이해를 요구합니다 이번 전시는 두 명의 작가를 소개하며 시간이 만든 나 가 무엇을 사유했는지에 초점을 맞추고 있습니다,2022/09/20~2022/10/05,SeMA 벙커
20220927050009,"영원한 나르시시스트, 천경자",https://sema.seoul.go.kr/common/imageView?thumbYn=Y&FILE_PATH=%2Fex%2FEXI01%2F2022%2F&FILE_NM=20220302144037_360f0157c6b5484d9001d77899e00a61_49e8ba779574483abad5c781f219221e,영원한 나르시시스트 새창열림 천경자 내 그림들이 흩어지지 않고 시민들에게 영원히 남겨지길 바란다 년 한국 화단의 대표적인 작가 천경자 화백은 시민과 후학들이 자신의 작품을 쉽게 접할 수 있도록 하기 위해 년대부터 년대까지 여년에 걸쳐 제작한 작품 점을 서울시립미술관에 기증하였다 한국화의 채색화 분야에서 독자적인 화풍을 이루어 온 작가의 독특한 작품세계와 그 기증의 의미를 되새기기 위한 천경자 상설전시는 영원한 나르시스트 천경자 라는 이름으로 여점의 작품을 선보인다 영원한 나르시시스트 천경자 는 꿈과 사랑 환상에서 비롯된 정한 어린 스스로의 모습을 끊임없이 작품에 투영하는 작가의 작품세계를 은유한다 그것이 사람의 모습이거나 동식물로 표현되거나 상관없이 그림은 나의 분신 이라고 말하는 천경자 화백의 작품세계는 마치 자신을 비추는 거울 과도 같다 전시는 이처럼 자전적 인 성격을 가지는 작가의 작품 전반에 대한 자기고백적 측면에서 접근하여 내 슬픈 전설의 이야기 환상의 드라마 영혼의 여행자 자유로운 여자 라는 네 개의 섹션으로 구성하였다 다채로운 이야기로 구성된 이번 전시를 통해 천경자 화백의 작품 기증이 지닌 참뜻이 다시 한 번 빛나길 바라며 앞으로도 지속적 연구를 통해 다각도로 재조명될 천경자 상설전시에 대한 관람객 여러분의 변함없는 관심과 사랑을 기대한다,상시,서울시립미술관 서소문본관
