exhibition_name,poster_link,exhibition_description,exhibition_period,exhibition_place
제21회 한국국제아트페어,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1661300563182.png,"
전시소개

Kiaf SEOUL은 2002년 처음 문을 연 한국 최초의 국제아트페어입니다. 전세계 갤러리들이 참가하는 Kiaf SEOUL은 글로벌 아트 시티인 서울을 중심으로 빠르게 성장하고 있습니다. Kiaf SEOUL은 2022년부터 규모를 확대하고 있으며 새롭게 런칭하는 Kiaf PLUS를 통해 현대미술은 물론이고 NFT 아트, 뉴미디어아트 등 다양한 장르의 작품을 소개합니다. Kiaf SEOUL과 Kiaf PLUS는 아시아를 넘어 글로벌 아트 마켓을 주도하며 세계 미술인의 축제가 될 것입니다.
해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다.
1688-2220
",2022. 9. 2.~2022. 9. 6.,서울 | 코엑스 홀
스타트 아트페어 서울 2022,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1661300534267.png,"
전시소개

- 일반티켓은 9월 1일 목요일부터 9월 6일 화요일까지 입장 가능합니다.

스타트 아트페어는 매년 10월 런던 프리즈 위크 기간에, 최고의 현대미술관인 사치갤러리에서 열리는 아트페어입니다. 확고한 명성을 쌓아온 스타트 아트페어는 런던의 명성을 이을 다음 도시로 서울을 선택했습니다. 아트페어를 주관한 세계적인 미술품 컬렉터인 데이비드와 세레넬라(David and Serenella Ciclitira)는 10년 전부터 한국 미술을 수집하고 '코리안 아이(Korean Eye)'라는 전시를 기획하면서 한국 예술을 국제무대에 알렸습니다. 이번 스타트 아트페어 서울 2022(StART ART FAIR SEOUL 2022)는 한국의 미술시장 발전과 국내 작가들의 글로벌 무대 진출을 위해 특별한 공모방식을 도입했습니다. 엄격한 심사로 선발된 작가들의 작품들은 영국 런던 사치 갤러리와 서울에서 순회 전시회를 지속 개최하며 세계인들에게 한국 미술의 다양성과 예술성을 두루 소개할 예정입니다.
(공식 웹사이트: www.startartfairseoul.org)
해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다.
1688-2220
",2022. 9. 1.~2022. 9. 6.,서울 | 갤러리아 포레 G층 전용관
제20회 한국섬유미술비엔날레,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1661992196415.jpg,"
전시소개

40여년의 역사를 자랑하는 저희 한국섬유미술가회는 한국 섬유 미술의 시작과 현재, 그리고 미래를 이끌고 이를 세계에 알리는 역할을 하는
대표적인 섬유 미술 협회 입니다.
 
본 협회는 명실공히 국내외의 전시와 세미나를 통해서 현대미술의 새로운 영역 활대의 일환으로 다양한 매체의 표현 확장과 창의적인 표현의 다양함을 제시함으로써 한국 섬유 미술의 위상을 확고히 다져 왔습니다.
한국섬유미술가회 전시는 섬유라는 매체가 지니는 구조적, 물성적 특성을 바탕으로 전통과 현대를 아우르는 작품들을 선보여 한국 섬유예술의 새로운 가능성과 발전을 제시하고 있습니다. 제20회 한국섬유미술비엔날레 정기전을 통해 섬유를 통한 실용적, 예술적 가치를 가늠하는 귀중한 기회를 제공하고자 합니다.
 
해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다.
1688-2220
",2022. 8. 31.~2022. 9. 5.,서울 | KCDF갤러리
조操:명하다 - 내일의 바다 : 우리가 외면한 오늘,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1662079098276.png,"
전시소개
제주 광치기 해변의 그림처럼 아름다운 모습을 배경삼아 사진을 촬영하는 관광객의 발밑에는 해안선을 따라 바다 쓰레기가 늘어져있다. 깨끗하고 아름다운 바다을 만끽하고 싶지만 해양 쓰레기는 신경 쓰고 싶지 않은 모순이 드러나는 순간이었다.
전시 <내일의 바다 : 우리가 외면한 오늘>은 모순에서 시작됐다. 본 전시를 통해 기획자들이 여러 해변에서 직접 수집한 해양 쓰레기와 '새활용'의 방식으로 만든 공예품을 전시하여 해양 쓰레기에 대해 인식하고, 새활용을 실천해 볼 수 있는 계기를 만들어보고자 한다.
또한, 궁극적으로 지구의 문제를 외면하지 않고 직시하고 해결해야 하는 우리들의 숙명에 대해 조명하고자 한다.
해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다.
1688-2220
",2022. 9. 3.~2022. 9. 4.,서울 | 갤러리 지하
[집밖] 호랑이 그림 Ⅱ,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1661991199820.jpg,"
전시소개

o 전 시 품: <호랑이 그림 병풍>, <호렵도>, <호랑이 흉배> 등 13건 18점 전시

호랑이는 예로부터 ‘나쁜 기운을 물리치는 신성한 존재'로 여겨져 왔습니다. 우리 선조들은 일상 생활에 호랑이와 관련한 물건을 두어 집안의 평안을 기원했습니다. 선조들이 남긴 그림, 책, 옷 등에 등장하는 호랑이를 감상하며 힘찬 '호랑이 기운' 받으시기 바랍니다.
해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다.
1688-2220
",2022. 5. 3.~2022. 9. 4.,서울 | 국립중앙박물관
My Muse,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1660093457910.jpg,"
전시소개

My Muse
‘꽃’에 영감을 받아 꽃이 가지고 있는 여러 의미와 이야기를 기존과는 다른 시각으로, 우리만의 방식을 통해 풀어내는 전시입니다.
꽃말은 꽃을 주는 사람에게 나의 마음을 비유적으로 표현할 때 자주 쓰이고 있습니다. ‘불가능의 극복’, ‘당신은 내 삶을 완벽하게 해줍니다’, ‘그대가 있기에 행복합니다’ 등 이런 꽃말을 담고 있는 꽃들 중 어떤 꽃이 나에게 영감을 주는 존재가 될 수 있는 My muse인지 알아보고 나는 누군가에게 어떤 영향을 주는 사람인지 다시 생각해 볼 수 있는 시간을 준비했습니다. 자신과 닮아서, 나에게 따뜻한 말로 다가와서, 그 꽃은 당신의 뮤즈가 될 수 있습니다.
자신의 뮤즈를 확인한 후에는 여러가지 사물들이 뮤즈로 변하여 조화를 이루는 모습을 통해 자신도, 눈에 띄지 않았던 작은 것도 뮤즈가 되어 누군가에게 영향을 미칠 수 있다는 메시지를 전달하고자 합니다.
해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다.
1688-2220
",2022. 8. 30.~2022. 9. 4.,서울 | 어반플루토
"인천서예연구회, 서예술, 그 옛 법과 새로움 비교",https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1659486835739.jpg,"
전시소개

서예의 옛 법은 풍부한 배움을 통하여 작가 신체(神采, 정신과 풍채)로 드러나는 현대적인 감각과 문자의 조형적 요소가 문학적 요소를 결합한 필체를 작품으로 선보인다.
해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다.
1688-2220
",2022. 8. 24.~2022. 8. 31.,인천 | 인천광역시교육청평생학습관
두산 큐레이터 워크샵 기획전 《칼립소 Καλυψ》,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1659319505110.jpg,"
전시소개

 
 
두산갤러리는 신진 기획자 양성 프로그램인 ‘두산 큐레이터 워크샵’ 기획 전시 《칼립소 Καλυψώ》를 2022년 8월 3일부터 8월 31일까지 개최한다. 이번 전시는 두산 큐레이터 워크샵의 11회 참가자 박유진, 최선주, 홍예지의 공동 기획 전시다.
 
두산 큐레이터 워크샵 기획전 《칼립소 Καλυψώ》는 호메로스의 서사시, 『오뒷세이아』에 등장하는 님프 칼립소의 이야기에서 시작한다. 오디세우스는 트로이 전쟁이 끝나고 집으로 돌아가던 중, 풍랑을 만나 배와 동료를 모두 잃고 세상의 끝에 위치한 칼립소의 섬에 도착했고, 칼립소는 부와 영생을 약속하며 그가 떠나지 못하도록 7년 동안 자신의 섬에 붙잡았다.*
 
본 전시는 이방인을 붙잡았던 칼립소에 초점을 맞춘다. 그녀는 어떻게 그의 시간을 붙잡았을까? 기획자 3인은 그 실마리를 전시의 제목이기도 한 ‘칼립소’의 뜻에서 찾는다. 칼립소는 ‘은폐하다’, ‘덮다’를 뜻하는 그리스어 칼립토(καλύπτω)에서 유래한 것으로 무언가를 숨기고 있는 장막을 의미한다. 칼립소가 오디세우스를 붙잡을 수 있었던 이유는 그녀가 진리를 감추는 힘 그 자체였기 때문이다. 《칼립소 Καλυψώ》는 진리를 말하는 대신 ‘은폐’와 ‘장막’을 전시의 방법론으로 택하고, ‘언제든 떠날 준비가 된’ 인물을 오래 머물도록 만드는 방법에 대해 고찰한다. 문소현, 뭎 Mu:p, 박예나, 신 와이 킨(Sin Wai Kin)의 작품뿐만 아니라 전시장의 기둥, 매주 다르게 비치되는 출판물, 프로그램 등 모든 구성 요소가 전시의 시공간을 겹쳐 한눈에 파악되지 않도록 만들며, 떠나려는 자의 시간을 지연시킨다. 
 
문소현은 공간의 구조를 비틀어, 정확한 위치를 알 수 없도록 혼란을 가중시키는 미디어 설치 작업을 진행해왔다. 이번 전시에서 공개되는 신작 <sink>(2022)는 두산갤러리가 위치한 두산아트센터를 촬영하고, 그 소스를 활용하여 변형된 공간을 보여준다. 비상구, 계단, 주차장, 옥상, 무대의 대기실처럼 평소에는 주목하지 않는 공간을 전면에 드러내며 공간의 위계를 뒤집는다. 끝없이 이어지는 복도 앞에서 그림자가 왜곡되며, 관객은 기이하고 으스스한 공간 속에서 방향을 잃게 된다. 끝을 가늠하며 닻을 내리려 하지만 바닥에 닿지 못하고 자유낙하 하는 감각이 지속된다. 이 시간은 관습을 벗어난 방식으로 탈출구를 찾도록 유도한다. 
 
공간과 움직임을 구조적으로 탐색해온 뭎 Mu:p은 전시 동안 8 번의 연습, 4 번의 공연으로 구성된 퍼포먼스 <4p8p : 8번의 연습과 4번의 공연>(2022)을 선보인다. 연습이 공연의 선행이 되거나 공연이 연습의 반복이 되지 않으며 각 연습과 공연은 한 문장에서 시작하여 대화를 쌓아간다. 연습 과정에서 연출자와 출연자가 나눈 대화는 공연이 없는 날, 텅 빈 전시 공간에 송출된다. 전시 동안 벌어지는 12 번의 개입이 이곳의 시간 양식 자체를 변주한다. 4주에 걸쳐 9 번 이상의 방문을 통해 전체 윤곽을 볼 수 있지만, 관객이 마주하는 순간은 언제나 전체도 아니고 일부도 아닌 방식으로, 관객은 개입된 시간을 더듬어 파악해야 한다. 뭎 Mu:p은 연습과 공연을 편집하고 뒤섞으며 일반적으로 드러나지 않았던 퍼포먼스의 구성 요소에 대해 질문한다. 
 
박예나는 신작 <아티젝타를 포착하세요!>(2022)를 통해 자신이 발견하게 된 진리의 조각을 관객에게 나누어 주고자 시도한다. 파편적인 방식으로 여기저기 흩어져 있는 단서들은 현재와 미래의 시간을 뒤섞으며 미지의 존재인 아티젝타 (Artijecta, Artificial+Object+Data의 합성어)를 조우하도록 만든다. 아티젝타는 사물이 인간 세계를 지배하고 있는 먼 미래의 존재로, 눈에 보이지 않는 곳에서 끊임없이 인간과 접촉해왔다. 발견자를 자처하는 작가는 공공 와이파이 장치, 영상, 이미지 등을 통해 아티젝타가 개입하는 방식을 암시한다.
 
신 와이 킨은 사변적 픽션을 활용한 퍼포먼스, 무빙 이미지, 글쓰기를 통해 욕망과 정체성, 대상성을 규정하는 규범적 과정을 교란하는 작업을 해왔다. 특히 그에게 드랙은 체화된 실천으로서, 재현의 테크놀로지가 만들어내는 이상적인 이미지를 비판하는 전략으로 쓰인다. 전시장의 전면을 가득 채운 <더 원(The One)>(2021)은 깊게 명상 중인 작가의 모습을 보여준다. 그의 이마에는 제3의 눈인 태양, 얼굴 전체에는 신체의 윤곽이 그려져 있다. 이 이미지는 몸의 한계를 재정의하고 얼굴과 배경의 경계를 흐리며 성애화한다. <오늘의 뉴스(Today’s Top Stories)>(2020)는 퀀텀 유니버스에 관해 진실과 거짓, 실제와 픽션을 동시에 제시한다. 두 작업은 자기와 세계, 정신과 육체, 개인과 전체의 구분은 더 이상 존재하지 않는다고 속삭인다. 반복되며 길게 늘어지는 시간은 관객의 호흡에 침투하며 고착화된 이분법과 정상성의 규범을 급진적으로 무너뜨린다.
 
저기 봐, 세계가 무너지고 있어. 그런데도 너는 너의 세계로 돌아가기를 원해? 여기 안락한 낙원을 버리고, 생을 확신할 수 없는 미래로 나아가길 바라?
 
칼립소가 ‘귀환이 지연된 자’에게 묻는다. 안락한 섬을 떠나 폭풍우 치는 바다를 건너갈 것이냐고. 우리는 그 대답을 알고 있다. 오디세우스가 뗏목을 타고 그의 세계로 나가 자신의 서사를 완성했기 때문이다. 
 
《칼립소 Καλυψώ》는 현실을 부정하거나 포기하지 않는 태도를 견지하며 지금 이 세계에 머물 수 있는 방법에 대한 고민으로 도착한다. 칼립소가 오디세우스를 붙잡았던 시간은 그의 변신을 돕는 필수적인 지연이었다. 이때 고립과 억류는 소모되고 실패한 시간이 아니라 자신을 파헤치는 창조적인 시간으로 전환된다. 결국 섬의 방문객은 새로운 방법으로 계속 탈출을 시도하며, 그 자신의 삶을 무너뜨렸던 공포와 무기력을 극복한다. 본 전시는 종국에는 장막 너머에 존재하는 진리에 대한 불가능한 이해와 끊임없이 부상하는 불안과 관계없이, 장막을 들추는 힘에 대한 탐구로 나아가기를 제안한다. 칼립소가 결국 오디세우스에게 뗏목을 만들 나무를 건넸던 것처럼 《칼립소 Καλυψώ》는 당신에게 바란다. 부디 이곳을 나가 새로운 이야기를 완성하기를.
 
‘두산 큐레이터 워크샵’은 한국 현대미술계에 새로운 시각을 제시할 신진 큐레이터를 발굴, 지원하는 프로그램이다. 매년 3명의 큐레이터를 선정하여 1년 동안 각 분야의 전문가들을 초청, 강의∙세미나∙워크샵으로 현대미술의 이론과 현장을 깊이 있게 다룬다. 1년의 교육기간 후, 두산갤러리에서 3명이 공동으로 전시를 기획해 봄으로써 1년간의 연구를 구체화할 수 있는 실질적인 큐레이팅 기회를 갖게 한다.
 
* 호메로스, 『오뒷세이아』, 천병희 옮김, 서울: 도서출판 숲, 2015.
해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다.
1688-2220
",2022. 8. 3.~2022. 8. 31.,서울 | 두산갤러리
양구백자의 재해석 - 백색변주,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1661387233091.jpg,"
전시소개


7년동안 양구에 들어와서 작업실을 운영하면서,
양구 도석을 바탕으로 여러 가지 시행착오를 겪고 완성된 작업 결과물을 정리하였다.
이 전시는 양구도석을 다양한 방법으로 활용한 작업을 보여준다.
다양한 백자의 색의 변화를 통해 다양한 기법을 이용한 변주를 제시한다.
해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다.
1688-2220
",2022. 8. 24.~2022. 8. 29.,서울 | KCDF갤러리
Seed and Peel,https://www.mcst.go.kr//attachFiles/cultureInfoCourt/monthServ/1661387213983.jpg,"
전시소개


껍질은 알맹이를 감싸는 옷과 같이 중요한 역할을 하며, 껍질이 없다면 알맹이가 존재하지 않으나 껍질은 결국 버려지고 주체가 되지 않는다.
 
버려진 것들, 주목하지 않으면 사라질 것들
 
이러한 크고 작은 껍질의 씨앗 안에 깃든 것은, 당연하지 않으나 당연하게 버려지는 것들에 배어 있는 시간의 흔적을 귀히 여기는 작가의 태도와 삶의 방식이다. 당연하게 버려지는 것들을 주체로서 기록하고 표현하여 가치를 잃어버리는 것들에 예술적인 반전을 부여함으로써 작품으로 표현된 버려지는 사물들은 새로운 생명력을 부여받는다.
해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다.
1688-2220
",2022. 8. 24.~2022. 8. 29.,서울 | KCDF갤러리
