,exhibition_name,poster_link,exhibition_description,exhibition_period,exhibition_place
0,제8회 대한민국국제포토페스티벌,https://www.sac.or.kr//upfile/uploadfile/asa/goods/goods/2022/08/ef6858742d2fd584c0e4331437dc4b03.jpg,"
[전시소개]
제 67회 창작미술협회전 
 
창작미술협회는 한국현대미술의 중심축을 이루며 오랜 세월 그 명맥을 이어왔습니다. 1957년 창립되어 스타일을 따지지 않고, 개인의 작가가 지닌 바탕을 따라 현대미술 정신을 추구해 오고 있습니다. 
 이봉상, 유경채, 이준, 최영림, 표승현, 유희영, 이종학, 이기원, 하영식 등 많은 작가 분들이 활동하셨고, 순수 추상의 미술이 많이 내재되어 있다고 볼 수 있습니다.

 화단의 비구상, 추상의 그림들을 대표하는 많은 작가 분들의 활동이 많이 있었고, 그 뜻을 이어 나가고 있습니다. 또한 동시대 미술과 호흡을 같이 할 수 있는 방향을 모색해 나가고 있습니다. 최근에는 다양한 작품을 하는 작가 분들과 함께 협회가 나아가야 할 방향도 같이 모색해 보고 있습니다.

 현재는 구상, 비구상, 추상 등 젊고 다양한 작가 분들이 함께 전시를 만들어 가고 있습니다. 한국의 현대미술이 나아가야 하는 방향성을 볼 수 있는 전시입니다. 

 그림을 그리는 일은 자기 수행과 그 맥을 같이 한다고 볼 수 있습니다. 표현하는 방법은 다르지만 다양한 세대가 어울려 전시를 만들어 간다는 행사에 함께 그 의미를 찾아보는 뜻 깊은 전시가 진행되었으면 하는 바램입니다.


[대표작품]


1. 서화라 '미술관에 사람이 산다’


2. 손원영 'Relations’


3. 양은연 'The otherside‘


4. 이재연 '관조’


5. 이재윤 '빛과 마음의 소리’


6. 이종태 'One Flower-Red’


7. 이홍전 '무위자연'


8. 전태수 Little boy tower
                          ",2022-09-09 ~ 2022-09-15,한가람미술관
1,현대한국화협회41주년대작전,https://www.sac.or.kr//upfile/uploadfile/asa/goods/goods/2022/09/e14ecd22436638e26c0450d6ae8fd98d.jpg,"



대한민국국제포토페스티벌은 예술의전당에서 해마다 펼쳐지는 사진 및 시각예술축제이다. 2013년 제1회를 시작으로 2022년 올해로 8회를 맞이한다. 올해는 200여명의 작가의 작품 1000여점이 출품된다. 4차 산업혁명으로 대변되는 인공지능의 시대를 맞아 사진의 방향성과 변화상을 조명해본다.

​
[행사내용]

제8회 대한민국국제포토페스티벌
Korea International Photo Festival 2022

<메타 리얼리티 : 사진 그 너머>
MATA REALITY: BEYOND THE REALITY

기간 : 2022.9.9.(일)-15(월)
*9.9(금) 12:00 오픈 /  9.12(월) 휴관 / 9.15(목) 17시까지
*관람시간(9.10~14) : 오전 10:00 - 오후 7시

장소 : 예술의전당 한가람미술관 제3,4전시실

주전시 (Main Exhibition)
주제 : 메타 리얼리티 : 현실 그 너머

지아코모 코스타(Giacomo Costa)
룬 구네리우센 (Rune Guneriussen)
임안나(Anna Lim)
안드레아스 마익스너(Andreas Meichsner)
빅토리아 소로친스키 (Viktoria Sorochinski)


특별전(Special Exhibition)
주제 : 어제의 창(窓), 내일의 문(門)

#1 미디어 사진의 미래
BAKI : Language of Body

#2 학교의 가치
- 셰하이룽(Xie HaiLong) : 희망공정(希望工程, Longing and Fulfilment)
- 강제훈 : 들꽃 피는 분교


​Viewfinder of KIPF

#1 한국성(性) 모색
양재문- 농악 나르샤(NongAk Narsha)

#2 시대의 초상
전재홍 – 붉은섬의 붉은 눈물
전제훈 - 마지막 광부들

#3 신체의 변주
변성진 - BORDER : hide & seek
김상덕 - 태양의 파편

#4 틀 밖의 언어
김정언 - Tickling of touch
한희준 – Plastic – Be born again

#5 사라지고 남는 것
이종건 – 철수야 놀자
우기곤 – 삼거리 이발관
이성호 – Camp Walker H-805 Heliport


형형색색
Fabian Sommer 외 180명


코리아포토(KOREA PHOTO)
김수영 등 17명


올댓포토북(All that photobook)
-한중수교 30주년 기념 중국작가 30인의 사진집 소개
 
                          ",2022-09-17 ~ 2022-09-27,한가람미술관
2,3인3색전,https://www.sac.or.kr//design/common/images/asset/noImage300x300.png,"
",2022-09-18 ~ 2022-09-27,한가람미술관
3,오픈스튜디오 아트페스타 <그림의 탄생>전,https://www.sac.or.kr//design/common/images/asset/noImage300x300.png,"
",2022-10-01 ~ 2022-10-08,한가람미술관
4,디즈니 창립 100주년 특별기념전시 미키마우스 클럽하우스,https://www.sac.or.kr//design/common/images/asset/noImage300x300.png,"
",2022-12-10 ~ 2023-04-09,한가람미술관
5,뉴호라이즌,https://www.sac.or.kr//design/common/images/asset/noImage300x300.png,"
",2022-12-15 ~ 2023-03-25,한가람미술관
6,게티이미지사진전,https://www.sac.or.kr//design/common/images/asset/noImage300x300.png,"
",2021-12-22 ~ 2022-03-27,한가람미술관 제1전시실
7,영국 현대미술의 거장 : 마이클 크레이그 마틴展,https://www.sac.or.kr//upfile/uploadfile/asa/goods/goods/2021/12/bbcd863c523b703d04253a4730532642.jpg,"


[전시소개] 
<게티이미지 사진전 – 세상을 연결하다>은 1995년 창립 이후 인류의 기록을 이미지와 영상 매체로 보관하는 아키비스트archivist의 역할을 해온 게티이미지 社의 콜렉션을 세계 최초로 선보이는 대규모 기획 전시입니다.
4억개가 넘는 이미지와 1,200만 개의 비디오 영상 콘텐츠 아카이브 중 엄선한 작품 330여 점을 소개합니다. 
                          ",2022-04-08 ~ 2022-08-28,한가람미술관 제1전시실
8,조정숙 화백 유작전,https://www.sac.or.kr//upfile/uploadfile/asa/goods/goods/2022/03/744f0531d6b5f0fe15cbade677e5fb8c.jpg,"

 
MICHAEL CRAIG-MARTIN
영국현대미술의거장 : 마이클크레이그마틴展
 
마이클크레이그마틴
선과색으로개념을그리다

마이클크레이그마틴의초기작 '참나무 (An Oak Tree 1973)' 작품은변기를미술전에출품한마르셀뒤샹의바톤을이어받아,
당시미술계에파격적인이슈가됩니다. 갤러리벽면에 ‘선반과물한잔’을올려놓고물컵이아닌참나무라고명명한이작품은
개념미술사의중요한전환점이됩니다.
이런도발적이고창의적인접근은영국골드스미스(Goldsmiths, University of London) 대학교교수로재임하는기간동안
많은학생들에게성공적으로전달되었고, 이를고스란히전수받은학내젊은아티스트그룹인yBa(young British Artist)의
데미안허스트, 줄리안오피, 트레이시에민등오늘날세계현대미술계의중추적역할을하는예술가들에게개념미술적방향을
제시하게됩니다. 이공로를인정받아마이클크레이그마틴은엘리자베스 2세여왕으로부터 2001년대영제국훈장
CBE(Commander of the British Empire)을받습니다.
최고의미술선생님인마이클크레이그마틴도 '최고의작가'로이름을알리는데는조금의시간차가있었습니다.
작가보다스승으로회자되던때도길었습니다. 제자들에게나눠준에너지만큼이나작가로서의열정도컸기에결국화가로서의
꿈을이룰수있었죠. 현재 82세인마이클크레이그마틴의작품은세계유수의박물관과미술관에소장되어있으며,
화이트큐브와더불어현대미술최고의갤러리로꼽히는세계 3대갤러리인가고시안의전속작가로왕성하게활동중입니다.

“그림에숨겨놓은상징이나이야기따위는없다.내작품은상상력을자극하는방아쇠!각자의스토리를만들라!
마이클크레이그마틴

* 전세계최초, 최대규모의원화작품전
* 1970년대초기작품부터최신작까지
 82세작가의예술인생을총망라한회고전
* 페인팅, 설치, 디지털, 드로잉, 판화등
 다양한장르의작품총 150여점공개
* 개념미술의시작을알린기념비적작품,
 참나무 (An Oak Tree 1973) 아시아최초전시
* 2022년한국전시만을위해특별하게제작된
 스페셜아트워크공개
* 현재세계에서가장영향력있는큐레이터
 한스울리히오브리스트(Hans Ulrich Obrist)의
 마이클크레이그마틴인터뷰공개


EXHIBITION SECTION

Section  1
Exploration: 탐구
예술의해답을찾아가는여정

Section  2
Language: 언어
서사를부여하지않는도구, 글자

Section  3
Ordinariness: 보통
일상을보는낯선시선

Section  4
Play: 놀이
자유롭게넘나드는예술적유희

Section  5
Fragment: 경계
축약으로건네는상상력의확장

Section  6
Combination: 결합
익숙하지않은관계가주는연관성


혹시팝아트를연상하셨나요?

간결한라인, 평범하지않은컬러, 단순화되거나확대되어배치되는흔한일상의오브제들을 1950년대미술사조인팝아트를
떠올리게합니다. 하지만마이클크레이그마틴은본인의작업을팝아트가아니라고말합니다. 과감한색과미니멀한라인은
그저작품을강조한시각적인효과일뿐이라고.

그는영국개념미술의선구자이자 1세대작가로붓칠의기술보다작품속작가의철학과의도를강조하는새로운장르를개척했습니다.

'개념미술'이라는게아직잘와닿지않으시죠?

""내가그이름을불러주었을때그는나에게로와서꽃이되었다"". 김춘수시인의유명한시한구절을기억해볼까요? 내가그를
'꽃'이라는이름으로불러줄때비로소꽃이되듯, 마이클크레이그마틴은흔하고친숙한오브제를선(Line)과색(Color)으로변화시키고이과정을통해사물본래의의미는지워버리고, 새로운작가적의도를부여합니다.

시각적으로인지되는물체의이름은그저교육과사회화에의해약속된언어일뿐보는이의기억, 경험, 창의력을통해충분히다르게해석될수있다는게마이클크레이그마틴식의개념미술입니다.

개념미술은어렵지않습니다.

친숙한오브제를다루는마이클크레이그마틴작품은오히려심플한구도와매혹적인컬러의이미지를뽐내며대중들의시선을사로잡죠. 그렇게보는이의빗장을풀어놓고어느새다가와말을겁니다.
고정관념에서벗어나, 당신의상상력을유쾌하게움직여보라고!
 
https://michaelcraigmartin.modoo.at/

 
[ 프라이빗 유료 도슨트 프로그램 ]
 
티켓 포함 30,000원
https://booking.naver.com/booking/12/bizes/677208/items/4365816
 
2022년 04월 08일(금) ~ 2022년 08월 28일(일)
- 화,목 김찬용 도슨트 11:30분
- 수,금 이남일 도슨트 11:30분
 
* 유료 프라이빗 도슨트는 20인으로 온라인 예매에서 선착순으로 구매 가능합니다.
* 매주 월요일 휴관
* 10시 ~ 19시(입장 마감 18시)
* 주말 및 공휴일은 운영하지 않습니다.
 

[ 무료 정규도슨트 프로그램]
 
2022년 04월 08일(금) ~ 2022년 08월 28일(일)
- 화,목 김찬용 도슨트 오후 2시, 4시
- 수,금 이남일 도슨트 오후 2시, 4시
 
* 매주 월요일 휴관
* 10시 ~ 19시(입장 마감 18시)
* 주말 및 공휴일은 운영하지 않습니다.



체험 프로그램
[조이뮤지엄]
조이뮤지엄과 함께하는 키즈 아트 워크숍
* 미술 교육원을 운영하고 있는 베테랑 선생님들과 함께 밀도있는 1:4 소규모 수업
* 프라이빗한 소규모 수업으로 아이들의 질문 하나 놓치지 않아요! 수업시간 총 100분

대상 : 6~13세
구성 : 최대 4명 (소수 정예)
시간 : 약 1시간 40분 소요
참가비 : 49,000원 (전시 티켓 + 아트 클래스)
문의 : 카카오채널 [조이뮤지엄] 등록 후 문의 바랍니다.
",2022-09-04 ~ 2022-09-14,한가람미술관 제1전시실
9,앙리 마티스 특별전,https://www.sac.or.kr//upfile/uploadfile/asa/goods/goods/2022/08/fda28f1e79d3a39c3b28bc13cf3c94e3.jpg,"
[전시소개] 
2022년 예술의 전당 전시를 목표로 준비한 많은 작품을 남겨두고 갑자기 세상을 떠난 조정숙 화백의 유지를 받들기 위해, 그리고 그녀의 작품세계를 인정하며 남겨진 미발표작을 안타까워하는 동료 화가들의 적극적 권유로 화백님의 작품의 예술성을 관람객들과 나누고자 합니다.
조정숙화백의 시그니처인 누드 드로잉부터 관념을 배격한 추상 페인팅까지 2022년 9월 4일~ 14일 동안 예술의 전당 한가람 미술관에서 만나볼 수 있습니다. 


[대표작품]



",2021-12-21 ~ 2022-04-10,한가람미술관 제3전시실
