,exhibition_name,poster_link,exhibition_description,exhibition_period,exhibition_place
0,Fresh Zone,https://korean.visitseoul.net/comm/getImage?srvcId=POST&parentSn=41126&fileTy=POSTTHUMB&fileNo=1&thumbTy=M,"


팬데믹 속에서 우리의 일상은 답답함이 가득했다. 교류는 축소되고, 미래에 대한 불안은 커졌다. 지치고 피로한 우리가 공통으로 원하는 것은 더 상쾌한 세상이다. Fresh Care Service(이하 FCS)는 ‘Fresh than ever’ 이라는 슬로건 아래 환기 업체를 가장한 아티스트그룹이다. 최상의 신선함을 제공하고, 다양한 환기를 일으키기 위해 모였다. 음악가이자 비디오 아티스트 권소만, 사진작가 김다인, 섬유 공예 작가 김미소, 그래픽 디자이너 김소정, 일러스트레이터 김현우, 작업자 왕인지, 시각예술 작가 정율로 이루어져 있다. FCS는 《Fresh Zone》이라는 신선 구역을 설정하고, ‘프레쉬•환기’를 주제로 한 7명의 다채로운 작업을 선보인다. 탁한 공기를 맑은 공기로 바꾸는 환기의 과정을 각기 다른 시각으로 풀어낸다. 프레쉬한 세상을 갈구하는 우리의 첫 번째 시도가 모두에게 신선한 환기의 경험이 되길 희망한다.",2022.07.07 ~ 2022.07.17,04043  서울 마포구 잔다리로3안길 46 (서교동)  1층
1,김영은 개인전 《소리의 틀》,https://korean.visitseoul.net/comm/getImage?srvcId=POST&parentSn=41079&fileTy=POSTTHUMB&fileNo=1&thumbTy=M,"


송은에서는 2022년 7월 8일부터 8월 13일까지 김영은 개인전 《소리의 틀》을 개최합니다. 김영은은 우리가 쉽게 놓칠 수 있는 기초적인 감각으로써의 청각적인 경험과 주변과의 관계에 주목합니다. 작가는 이번 전시를 통해 소리를 물리적, 심리적, 역사적인 관점으로 해석이 가능한 어떤 영역으로 바라보며 개인이 소리를 인식하는 기준에 의문을 품고 음악을 형성하는 기존 시스템의 구축 과정을 살펴보고자 합니다. 다양한 기록을 바탕으로 한 역사적 사건의 재구성을 통해, 작가는 기존의 음악적 ‘틀’ 안에서 발생하는 의미상의 충돌과 새로운 음향적 리얼리즘 생산에 주목합니다.",2022.07.08 ~ 2022.08.13,06016  서울 강남구 도산대로 441 (청담동)
2,《장-미셸 오토니엘-정원과 정원》,https://korean.visitseoul.net/comm/getImage?srvcId=POST&parentSn=41009&fileTy=POSTTHUMB&fileNo=1&thumbTy=M,"


서울시립미술관은 ‘유리구슬 조각’으로 잘 알려진 프랑스의 대표적인 현대미술가 장-미셸 오토니엘의 개인전 《장-미셸 오토니엘: 정원과 정원》을 서소문본관과 야외조각공원, 덕수궁 정원에서 6월 16일부터 8월 7일까지 개최한다. 이번 전시는 유리, 철 등의 다양한 물질과 풍부한 의미를 엮어 아름다움과 경이의 세계를 선보여온 장-미셸 오토니엘의 개인전으로 2011년 프랑스 퐁피두센터의 전시 이후 최대 규모이다. 장-미셸 오토니엘의 작품 세계를 구성한 주요 작품 74점을 한자리에 선보이며 작가가 최근 10년간 발전시킨 작품 세계를 조망한다. ",2022.06.16 ~ 2022.08.07,"04515  서울 중구 덕수궁길 61 (서소문동, 서울시립미술관)"
3,명품도시 한양 보물100선,https://korean.visitseoul.net/comm/getImage?srvcId=POST&parentSn=40815&fileTy=POSTTHUMB&fileNo=1&thumbTy=M,"


서울역사박물관에서 개관 20주년을 기념하여 개최하는 특별전.  개관 20주년을 기념하여 개최하는 특별전으로 1996년 서울역사박물관이 유물 수집을 시작한 이래 수집한 소장품 중 고지도, 회화, 서예, 고문서, 도자공예, 목공예 분야의 보물 등 지정문화재를 중심으로 100여 점을 전시한다. 조선왕조 창업을 노래한 용비어천가, 김정호가 제작한 대동여지도뿐만 아니라 운현궁과 관련한 이하응 초상, 조선시대 도자와 목가구 명품들도 함께 출품되어 당시의 높은 공예 수준을 감상할 수 있다.",2022.05.20 ~ 2022.08.07,03177  서울 종로구 새문안로 55 (신문로2가)
4,이상호 도자전 : 봄을 장식하다,https://korean.visitseoul.net/comm/getImage?srvcId=POST&parentSn=40810&fileTy=POSTTHUMB&fileNo=1&thumbTy=M,"


2022년 완연한 봄, 베어 카페에서 이상호 도자기 작가의 전시가 열립니다. 비정형에서 오는 아름다움을 현대적으로 해석한 이상호 작가의 새로운 작업시리즈를 선보입니다. 새롭고도 정겨운 형태의 도자기에는 다양한 요소들이 크로스오버되어 있습니다. 도자기에 사용되는 흙은 크게 미국의 흙, 일본의 흙, 한국의 흙이 섞여 있고 금과 은, 원과 사각, 흰색과 불투명, 투명의 유약들이 작가의 손끝에서 나오는 풍요로운 감성으로 아름답게 표현되었습니다. 꽃이 만개한 베어의 정원에서 차 한옥, 정원과 함께 도자기를 경험해보세요. 새롭고 따뜻한 문화 유희가 될 풍성한 시간을 준비합니다.",2022.05.04 ~ 2022.06.12,03042  서울 종로구 자하문로24길 24 (효자동)
5,과학의 눈으로 환경을 보다,https://korean.visitseoul.net/comm/getImage?srvcId=POST&parentSn=40633&fileTy=POSTTHUMB&fileNo=1&thumbTy=M,"


서울에너지드림센터가 국립과학관과 함께 환경과학체험전시 <과학의 눈으로 환경을 보다>를 개최합니다.이번 전시는 과학과 환경을 접목한 전시품으로 구성되며, 자연과 에너지 원리를 체험하고 지속가능발전목표와 환경에 대해 생각해볼 수 있습니다.<해시계 시뮬레이터>, <풍력에너지 블레이드>, <K-SDGs 퍼즐>, <빛으로 빛을 켤 수 있을까?> 등 4개의 국립과학관(중앙, 대구, 광주, 부산)이 개발한 전시품 10점 이상이 전시될 예정입니다. 사전예약 없이 현장접수를 통해 누구나 무료로 관람하실 수 있으니, 시민분들의 많은 관심과 참여바랍니다.※ 본 전시는 <2022 국립과학관 개발 전시품 순회전시> 일환으로 진행됩니다. ",2022.04.05 ~ 2022.05.31,"03901  서울 마포구 증산로 14 (상암동, 에너지 제로 하우스)"
6,송은문화재단 소장품전 Past. Present. Future.,https://korean.visitseoul.net/comm/getImage?srvcId=POST&parentSn=40569&fileTy=POSTTHUMB&fileNo=1&thumbTy=M,"


고려시대부터 조선시대까지의 회화 · 공예 · 서예, 동시대 작가들의 전통적인 소재와 표현기법에 대한 실험을 보여주는 벽화 · 조각 · 영상, 그리고 새로운 시도로 예술문화의 변화를 모색하는 NFT 작품을 선별해 과거-현재-미래 순으로 단순히 나열되는 시간 개념에서 벗어나 현재라는 시간 속에 과거와 미래가 끊임없이 교차하며 만들어낸 다층적인 서사를 담아냅니다. 송은문화재단 구사옥 개관 1주년을 맞이해 지난 2012년 개최한 《Testing Testing 1.2.3 : 송은문화재단 소장품전》 이후 10년 만에 선보이는 이번 소장품전에 많은 관심 부탁드립니다.",2022.04.06 ~ 2022.05.14,06016  서울 강남구 도산대로 441 (청담동)
7,제21회 송은미술대상전,https://korean.visitseoul.net/comm/getImage?srvcId=POST&parentSn=40427&fileTy=POSTTHUMB&fileNo=1&thumbTy=M,"


​송은(SONGEUN)은 신사옥 개관전 2부로 12월 10일(금)부터 2022년 2월 12일(토)까지 <제21회 송은미술대상전>을 선보인다. 송은미술대상은 역량 있는 동시대
한국 작가를 발굴하고 지원하기 위해 2001년부터 매년 운영하는 미술상이다. 제정 20주년을 맞아 새롭게 개편한 송은미술대상은 전시 형식의 심사
단계를 유지하는 가운데 수상 혜택과 전시 참여 작가를 20인으로 확대했다. 올해 공모에는 총 539명이 지원했으며, 지난 2월 진행된 예선심사를 통해 본선에 오른 작가 20인은 이번 전시 <제21회 송은미술대상전>에 참여한다. 참여 작가 20인 권아람, 김경태, 김다움, 김우진, 김은형, 김인배, 김지수, 김지영, 김지평, 류성실, 박광수, 박형렬, 서해영, 심래정, 이정우, 조경재, 최고은, 최병석, 한 & 모나, 후니다 킴은 이번 전시를 통해 회화, 조각, 설치, 사진, 영상, 사운드 등 여러 매체를 아우르며 동시대 한국 미술의 다양한 모습을 살펴볼 수 있는 신작을 선보인다.",2021.12.10 ~ 2022.02.12,
8,INSTANT DETECTION,https://korean.visitseoul.net/comm/getImage?srvcId=POST&parentSn=40295&fileTy=POSTTHUMB&fileNo=1&thumbTy=M,"


INSTANT DETECTION은 스폐큘레이티브 디자인 영화 중에도 MoMA, British Museum 등 전 세계적인 박물관이 구매하거나, 해외 영화제에서 주목하고 상영한 작업만 선정하여 국내에서 최초로 선보인다. 노암 토란(Noam Toran), 셀린박(Celine Park), 조셉 포퍼(Joseph Popper), 나마 슐렌더(Naama Schlendar), 히로키 요코야마(Hiroki Yokoyama), 조이 하우 (Zoe Hough) 총 6명의 디자이너가 만든 11편의 단편 영화는 각자 사회적 이슈에 대한 주제로 각 분야의 전문가들과 콜라보하고, 디자인적 관점으로 해석해 흥미로운 영상으로 풀어내었다.",2021.09.01 ~ 2022.02.28,06022  서울 강남구 압구정로32길 30 (신사동)  아이러브아트센터 4F 셀린박 갤러리
9,아이 웨이웨이: 인간미래,https://korean.visitseoul.net/comm/getImage?srvcId=POST&parentSn=40285&fileTy=POSTTHUMB&fileNo=1&thumbTy=M,"


세계적인 미술가 아이 웨이웨이의 <아이 웨이웨이: 인간미래> 개인전은 표현의 자유와 난민의 삶을 주제로 한 국내 미술관에서 열리는 첫 개인전이다. 전시 제목 '인간미래'는 '인간' 과 현재보다 더 나은 '미래'를 결합한 것이라고 한다. 아이 웨이웨이의 삶과 예술은 존엄한 인간으로서 자유롭게 대화를 나누며 기쁨과 분노를 표현할 수 있는 삶을 누려야 하며 또 그런 삶을 지금부터 앞으로 올 미래 세대까지 모든 타인들이 함께 누리도록 행동해야 한다고 말한다. 전시를 보며 그의 시간과 공간 속을 탐험하는 시간을 가져보자.전시 사진 및 정보 제공 : 국립현대미술관",2021.12.11 ~ 2022.04.17,03062  서울 종로구 삼청로 30 (소격동)  국립현대미술관 서울
